ARS,자치구,정류장이름,가격_원per면,경도,위도,승차_일평균,하차_일평균,승하차_일평균,경유노선수,공시지가_원per㎡,거리_시청_km,거리_강남_km,거리_여의도_km,거리_도심최근접_km,POI_total_100m,POI_total_300m,POI_음식_300m,POI_소매_300m,POI_과학·기술_300m,POI_수리·개인_300m,POI_교육_300m,POI_부동산_300m,POI_시설관리·임대_300m,POI_예술·스포츠_300m,POI_보건의료_300m,POI_숙박_300m,POI_total_500m,최근접지하철_거리_m,최근접역_승하차_일평균,교차로수_300m,가로망연장_300m,간선도로연장_300m,교차로수_500m,가로망연장_500m,간선도로연장_500m,간선도로거리_m
15157,양천구,오목교역 [15157],1002540.0,126.8763828695,37.5250698135,284.7,945.1,1229.7,2.0,3422000.0,10.056,13.676,4.258,4.258,116.0,765.0,203.0,275.0,25.0,59.0,61.0,16.0,10.0,50.0,63.0,3.0,1667.0,123.6,44866.0,31.0,5174.0,3555.0,63.0,13062.0,8205.0,15.2
15160,양천구,목동역.홍익병원 [15160],901600.0,126.8644323939,37.5273814301,4009.6,1332.5,5342.1,12.0,9860000.0,10.899,14.76,5.332,5.332,93.0,562.0,163.0,116.0,26.0,63.0,48.0,13.0,16.0,52.0,60.0,5.0,1490.0,152.0,34875.0,47.0,6365.0,3556.0,129.0,19185.0,8721.0,17.6
15161,양천구,CBS방송국 [15161],901600.0,126.8741491329,37.5280972176,192.6,572.0,764.5,2.0,910800.0,10.085,13.945,4.493,4.493,238.0,833.0,197.0,323.0,103.0,55.0,53.0,15.0,37.0,14.0,36.0,0.0,1586.0,408.4,44866.0,19.0,3296.0,1301.0,57.0,13362.0,10058.0,174.2
15164,양천구,목운초등학교.목운중학교 [15164],901600.0,126.8733948469,37.5261261893,1974.0,1531.4,3505.5,6.0,2949000.0,10.239,13.959,4.531,4.531,36.0,924.0,245.0,283.0,61.0,70.0,112.0,22.0,24.0,41.0,64.0,2.0,2012.0,239.4,44866.0,30.0,4905.0,2411.0,71.0,11720.0,6880.0,13.1
15166,양천구,목동7단지.종로학원 [15166],470400.0,126.8687626438,37.5256721661,1685.3,1066.3,2751.7,13.0,3435000.0,10.63,14.346,4.933,4.933,107.0,304.0,78.0,44.0,19.0,29.0,88.0,7.0,7.0,12.0,20.0,0.0,1326.0,340.9,34875.0,18.0,3480.0,2446.0,65.0,10285.0,5496.0,8.4
15167,양천구,목동대학학원 [15167],2195200.0,126.873313,37.524957,2728.9,2170.9,4899.8,13.0,4313000.0,10.303,13.937,4.527,4.527,169.0,971.0,250.0,299.0,36.0,82.0,125.0,27.0,17.0,52.0,79.0,4.0,2043.0,172.6,44866.0,34.0,5394.0,2893.0,74.0,12617.0,6754.0,4.3
15168,양천구,오목교역.동신한방병원 [15168],1002540.0,126.8768222179,37.524448727,1074.5,1368.8,2443.3,10.0,3369000.0,10.053,13.623,4.214,4.214,115.0,593.0,183.0,100.0,28.0,68.0,65.0,20.0,9.0,44.0,73.0,3.0,1557.0,144.9,44866.0,29.0,5154.0,3581.0,67.0,14160.0,9205.0,15.1
15169,양천구,갈산초등학교정문 [15169],578200.0,126.8704857561,37.5128049409,393.5,461.9,855.4,4.0,1338000.0,11.184,13.958,4.87,4.87,0.0,71.0,11.0,10.0,4.0,7.0,24.0,14.0,1.0,0.0,0.0,0.0,185.0,414.3,14379.0,14.0,2265.0,1205.0,40.0,8217.0,4752.0,11.1
15175,양천구,목동14단지상가 [15175],578200.0,126.8718895902,37.514708147,319.8,233.8,553.6,2.0,2825000.0,10.967,13.862,4.708,4.708,59.0,152.0,24.0,28.0,2.0,15.0,55.0,16.0,1.0,5.0,6.0,0.0,427.0,593.5,14379.0,5.0,1969.0,851.0,46.0,9398.0,5342.0,202.6
15177,양천구,현대아파트정문 [15177],617400.0,126.8782362614,37.5207879158,34.8,19.9,54.7,1.0,714400.0,10.14,13.418,4.082,4.082,0.0,228.0,61.0,63.0,13.0,39.0,25.0,11.0,2.0,8.0,5.0,1.0,893.0,490.6,44866.0,13.0,4505.0,2700.0,64.0,16024.0,10205.0,10.8
15181,양천구,목동14단지C상가앞 [15181],205800.0,126.8741755588,37.5140461143,253.2,456.0,709.2,2.0,2825000.0,10.835,13.652,4.524,4.524,0.0,88.0,12.0,16.0,2.0,11.0,29.0,16.0,2.0,0.0,0.0,0.0,308.0,758.8,3097.0,8.0,2152.0,1373.0,44.0,11033.0,7656.0,140.9
15182,양천구,목일중학교 [15182],205800.0,126.8739267611,37.5140188189,184.2,51.6,235.9,1.0,8305000.0,10.855,13.673,4.546,4.546,0.0,88.0,12.0,16.0,2.0,11.0,29.0,16.0,2.0,0.0,0.0,0.0,307.0,737.7,14379.0,9.0,1957.0,1074.0,41.0,10652.0,7496.0,156.7
15183,양천구,목동13단지 [15183],205800.0,126.8693990705,37.5142684329,71.0,55.7,126.8,2.0,2825000.0,11.18,14.073,4.933,4.933,1.0,65.0,11.0,5.0,2.0,7.0,24.0,15.0,1.0,0.0,0.0,0.0,300.0,377.6,14379.0,7.0,2498.0,1410.0,34.0,6899.0,3268.0,18.9
