자치구,정류장이름,ARS,가격_원,가격기준,가격_양면,가격_4면,상품유형,지원포맷,운영시간,야간조명,혼잡도,상세URL,수집일시,면수,가격_원per면
강서구,우장초등학교 [16142],16142,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1050,2026-05-31,2.0,901600.0
강서구,화곡본동시장 [16145],16145,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1051,2026-05-31,2.0,901600.0
강서구,화곡역 [16147],16147,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,혼잡,https://dukplace.com/ko/product/ad/1052,2026-05-31,2.0,901600.0
강서구,화곡역 [16148],16148,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1053,2026-05-31,2.0,901600.0
강서구,강서구청소년상담복지센터 [16149],16149,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1758,2026-05-31,2.0,578200.0
강서구,화곡푸르지오 [16150],16150,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1759,2026-05-31,2.0,578200.0
강서구,외발산신광명마을 [16151],16151,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1384,2026-05-31,2.0,205800.0
강서구,외발산신광명마을 [16152],16152,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1386,2026-05-31,2.0,205800.0
강서구,강서면허시험장.메이필드호텔 [16153],16153,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1324,2026-05-31,2.0,205800.0
강서구,공항동송정중학교 [16159],16159,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1330,2026-05-31,2.0,205800.0
강서구,공항동천주교회 [16160],16160,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1334,2026-05-31,2.0,205800.0
강서구,국립항공박물관.공항동천주교회 [16161],16161,759990,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2751,2026-05-31,2.0,379995.0
강서구,공항동지하도입구 [16162],16162,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1332,2026-05-31,2.0,205800.0
강서구,방화동도시개발11단지 [16166],16166,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1367,2026-05-31,2.0,205800.0
강서구,개화2치안센터 [16168],16168,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1326,2026-05-31,2.0,205800.0
강서구,개화검문소 [16169],16169,279300,단면(1면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1328,2026-05-31,1.0,279300.0
강서구,상사마을 [16171],16171,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1372,2026-05-31,2.0,205800.0
강서구,영일고등학교.강서도서관 [16173],16173,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1760,2026-05-31,2.0,578200.0
