ARS,자치구,정류장이름,공시지가_원per㎡,PNU,지번,공시지가_주소,공시연도
08181,성북구,보문동성상 [08181],8661000.0,1129012700101600001,160-1대,서울특별시 성북구 보문동5가 160-1,2025
08182,성북구,보문동성상 [08182],1466000.0,1129012600100730002,73-2도,서울특별시 성북구 보문동4가 73-2,2025
08184,성북구,보문동주민센터 [08184],1404000.0,1129012900101040001,104-1 도,서울특별시 성북구 보문동7가 104-1,2025
08185,강북구,월계2교.참누리아파트 [08185],1384000.0,1129013800103160006,316-6 도,서울특별시 성북구 장위동 316-6,2025
08186,강북구,월계2교 [08186],1030000.0,1129013800103110042,311-42 천,서울특별시 성북구 장위동 311-42,2025
08187,강북구,광운초교앞 [08187],1345000.0,1129013800103200007,320-7 도,서울특별시 성북구 장위동 320-7,2025
08188,강북구,광운초교 [08188],1345000.0,1129013800103200007,320-7 도,서울특별시 성북구 장위동 320-7,2025
08192,중랑구,장삼주유소 [08192],3762000.0,1129013800100090003,9-3 도,서울특별시 성북구 장위동 9-3,2025
08196,중랑구,석관고등학교 [08196],4551000.0,1129013900100730001,73-1대,서울특별시 성북구 석관동 73-1,2025
08197,중랑구,석관동코오롱아파트 [08197],1334000.0,1129013900100430001,43-1도,서울특별시 성북구 석관동 43-1,2025
08198,중랑구,석관동코오롱아파트 [08198],1284000.0,1129013900100580001,58-1도,서울특별시 성북구 석관동 58-1,2025
08202,강북구,장곡초교앞 [08202],1755000.0,1129013800102130001,213-1도,서울특별시 성북구 장위동 213-1,2025
08209,중랑구,돌곶이역 [08209],2017000.0,1129013900103490008,349-8도,서울특별시 성북구 석관동 349-8,2025
08211,중랑구,석관시장 [08211],6129000.0,1129013900102660001,266-1대,서울특별시 성북구 석관동 266-1,2025
08214,중랑구,석관동새마을금고 [08214],5687000.0,1129013900103320629,332-629대,서울특별시 성북구 석관동 332-629,2025
08216,중랑구,한국예술종합학교 [08216],1373000.0,1129013900104100008,410-8 도,서울특별시 성북구 석관동 410-8,2025
08222,강북구,장곡초교사거리 [08222],1345000.0,1129013800103230008,323-8 도,서울특별시 성북구 장위동 323-8,2025
08223,종로구,서울다원학교.한용운활동터 [08223],1260000.0,1129010100102270008,227-8대,서울특별시 성북구 성북동 227-8,2025
08226,성북구,성북구립미술관.쌍다리앞 [08226],2122000.0,1129010100101090003,109-3도,서울특별시 성북구 성북동 109-3,2025
