ARS,자치구,정류장이름,거리_시청_km,거리_강남_km,거리_여의도_km,거리_도심최근접_km
08408,성북구,북한산보국문역2번출구 [08408],5.76,12.837,12.457,5.76
08409,성북구,북한산보국문역1번출구 [08409],5.754,12.81,12.456,5.754
08718,성북구,삼선교역2번출구 [08718],3.549,10.243,10.369,3.549
08800,성북구,서경대정문앞 [08800],6.057,12.877,12.797,6.057
09104,강북구,우이동성원아파트 [09104],11.095,18.295,17.44,11.095
09116,강북구,인수중학교 [09116],8.956,16.147,15.418,8.956
09117,강북구,인수중학교 [09117],8.942,16.124,15.409,8.942
09142,강북구,강북노인종합복지관 [09142],8.397,15.201,15.031,8.397
09143,강북구,강북노인종합복지관 [09143],8.381,15.176,15.018,8.381
09150,강북구,북부시장입구 [09150],9.039,15.298,15.777,9.039
09154,강북구,북부수도사업소 [09154],9.133,15.179,15.901,9.133
09163,강북구,삼양초등학교 [09163],7.314,13.976,14.032,7.314
09166,강북구,삼양동사거리 [09166],6.913,13.376,13.682,6.913
09168,강북구,송천초등학교.미아뉴타운입구 [09168],6.712,13.081,13.5,6.712
09175,강북구,삼양동사거리입구 [09175],7.192,13.25,13.999,7.192
09176,강북구,강북보건소 [09176],9.099,14.973,15.888,9.099
09177,강북구,신창교.강북소방서 [09177],9.168,15.085,15.952,9.168
09179,강북구,강북보건소 [09179],9.129,14.999,15.919,9.129
09181,강북구,초안교 [09181],9.106,14.86,15.907,9.106
09182,강북구,번동주공3단지 [09182],9.056,14.647,15.868,9.056
09183,강북구,번동주공3단지 [09183],9.076,14.614,15.891,9.076
09185,강북구,번동주공1단지 [09185],9.104,14.461,15.925,9.104
09186,강북구,오현초등학교 [09186],8.858,14.072,15.68,8.858
09187,강북구,북서울꿈의숲 [09187],8.291,13.564,15.112,8.291
09203,강북구,수유중앙시장 [09203],9.133,15.847,15.761,9.133
09205,강북구,대한병원 [09205],8.789,15.443,15.448,8.789
09218,강북구,솔샘중고등학교.팔팔·미송경로당 [09218],7.049,13.999,13.708,7.049
09225,강북구,SK아파트벽산아파트상가 [09225],6.626,13.624,13.294,6.626
09228,강북구,번동주공아파트3단지4단지 [09228],8.892,14.66,15.695,8.892
09233,강북구,번동해모로아파트 [09233],8.46,14.309,15.262,8.46
09239,강북구,북서울꿈의숲 [09239],8.171,13.892,14.986,8.171
09240,강북구,꿈의숲롯데캐슬아파트 [09240],7.686,13.373,14.506,7.686
09243,강북구,경남아너스빌.꿈의숲해링턴아파트 [09243],7.51,13.23,14.33,7.51
09261,성북구,미아사거리역 [09261],6.758,12.524,13.579,6.758
09271,강북구,북서울꿈의숲 [09271],8.2,13.908,15.015,8.2
09275,강북구,삼각산동삼각산아이원아파트후문 [09275],6.631,13.193,13.395,6.631
09286,강북구,우이동도선사입구 [09286],11.165,18.38,17.498,11.165
09295,강북구,삼각산동삼각산아이원아파트정문 [09295],6.515,13.187,13.263,6.515
09302,강북구,삼각산고.래미안트리베라 [09302],6.604,12.968,13.395,6.604
09303,성북구,삼각산고.래미안트리베라 [09303],6.576,12.974,13.364,6.576
10107,도봉구,서울북부지방법원.검찰청.도봉역성황당 [10107],13.678,19.995,20.275,13.678
10109,도봉구,도봉견인차량보관소 [10109],13.355,19.657,19.965,13.355
10116,도봉구,방학사거리 [10116],12.072,18.316,18.73,12.072
10117,도봉구,도봉보건소 [10117],11.533,17.783,18.204,11.533
10120,강북구,함석헌기념관.정의여중고 [10120],10.859,17.174,17.533,10.859
10121,도봉구,도봉구민회관 [10121],11.116,17.394,17.791,11.116
10122,도봉구,도봉구민회관 [10122],11.182,17.473,17.853,11.182
10124,강북구,쌍문역.쌍문시장 [10124],10.348,16.703,17.028,10.348
10126,강북구,쌍문역 [10126],10.308,16.649,16.992,10.308
10133,도봉구,도봉구청 [10133],12.908,19.092,19.56,12.908
10139,노원구,자운고등학교앞 [10139],12.101,18.015,18.827,12.101
10141,노원구,창동동아청솔아파트 [10141],11.879,17.764,18.615,11.879
10144,노원구,창동농협물류센터 [10144],11.718,17.506,18.471,11.718
10149,노원구,창동주공19단지 [10149],11.301,16.948,18.079,11.301
10150,노원구,창동주공19단지 [10150],11.299,16.964,18.076,11.299
10151,노원구,창동주공18단지 [10151],11.156,16.737,17.944,11.156
10152,노원구,창동주공18단지 [10152],11.16,16.756,17.947,11.16
10156,도봉구,도봉역 [10156],14.051,20.354,20.644,14.051
10158,도봉구,노원교 [10158],14.052,20.273,20.667,14.052
10159,도봉구,노원교 [10159],14.079,20.299,20.694,14.079
10178,도봉구,쌍문동청구아파트 [10178],11.525,17.994,18.138,11.525
10184,강북구,연산군.정의공주묘 [10184],11.341,18.221,17.821,11.341
10186,도봉구,방학동신동아타워 [10186],11.491,18.212,18.026,11.491
10189,도봉구,방학동신동아아파트 [10189],11.636,18.248,18.202,11.636
10190,도봉구,방학동신동아아파트 [10190],11.697,18.292,18.267,11.697
10191,도봉구,국민은행방학지점 [10191],11.778,18.297,18.369,11.778
10193,도봉구,신한은행방학동지점 [10193],11.912,18.339,18.526,11.912
10194,도봉구,신한은행방학동지점 [10194],11.932,18.369,18.543,11.932
10195,도봉구,방학사거리 [10195],12.061,18.363,18.704,12.061
10200,강북구,쌍문동청한빌라 [10200],10.65,17.777,17.053,10.65
10204,강북구,초당초등학교 [10204],10.883,17.74,17.39,10.883
10206,강북구,방학동우성아파트 [10206],10.923,17.739,17.444,10.923
10210,강북구,쌍문동성원아파트 [10210],11.108,17.764,17.678,11.108
10213,도봉구,쌍문동현대.한양아파트 [10213],11.23,17.805,17.822,11.23
10214,도봉구,쌍문동삼익금호1차아파트 [10214],11.366,17.819,17.99,11.366
10216,도봉구,도봉구보건소앞 [10216],11.395,17.74,18.047,11.395
10218,강북구,북서울교회 [10218],10.593,17.762,16.978,10.593
10221,강북구,덕성여대입구 [10221],9.923,17.078,16.348,9.923
10224,강북구,숭미초등학교 [10224],10.248,16.863,16.862,10.248
10231,노원구,도봉등기소 [10231],11.107,17.101,17.84,11.107
10232,노원구,도봉등기소 [10232],11.138,17.136,17.869,11.138
10234,노원구,창동역서측 [10234],11.298,17.25,18.034,11.298
10235,노원구,창4동주민센터 [10235],11.614,17.33,18.379,11.614
10241,노원구,창동주공4단지 [10241],10.731,16.469,17.508,10.731
10242,노원구,창동주공4단지 [10242],10.742,16.49,17.518,10.742
10251,강북구,창동서울탁주앞 [10251],9.481,15.554,16.237,9.481
10259,강북구,KT도봉지점 [10259],10.214,16.503,16.913,10.214
10265,노원구,창동역동측 [10265],11.635,17.467,18.383,11.635
10313,강북구,금용아파트 [10313],9.411,15.563,16.156,9.411
10335,노원구,창동농협물류센터 [10335],11.717,17.56,18.462,11.717
10342,강북구,한국사회봉사회 [10342],11.106,18.262,17.472,11.106
10564,강북구,청구아파트 [10564],11.031,17.771,17.576,11.031
10706,노원구,창일중학교 [10706],11.061,16.909,17.818,11.061
10747,강북구,청구아파트 [10747],11.006,17.749,17.551,11.006
11101,중랑구,공릉시장 [11101],10.552,14.476,17.313,10.552
11103,중랑구,태릉입구역4번출구 [11103],10.421,14.167,17.158,10.421
11104,중랑구,태릉입구역3번출구 [11104],10.385,14.14,17.122,10.385
11114,중랑구,주유소앞다운복지관 [11114],10.718,14.224,17.429,10.718
11117,중랑구,태릉입구역7번출구 [11117],10.421,14.022,17.138,10.421
11127,중랑구,원자력병원 [11127],11.487,15.286,18.252,11.487
11134,중랑구,효성화운트빌원자력병원후문 [11134],11.633,15.245,18.38,11.633
11135,중랑구,우방아파트 [11135],11.618,15.157,18.355,11.618
11138,중랑구,청솔아파트 [11138],11.479,14.88,18.195,11.479
11140,중랑구,화랑대사거리 [11140],11.507,14.775,18.204,11.507
11141,중랑구,화랑대사거리 [11141],11.499,14.784,18.198,11.499
11142,중랑구,경춘선숲길.화랑대역공원 [11142],11.852,15.082,18.551,11.852
11144,중랑구,서울여대.육군사관학교행정안내소 [11144],12.243,15.414,18.943,12.243
11145,중랑구,서울여대.육군사관학교행정안내소 [11145],12.245,15.435,18.948,12.245
11146,중랑구,태릉국제사격장 [11146],12.462,15.646,19.169,12.462
11148,중랑구,태릉 [11148],12.787,15.985,19.502,12.787
11149,중랑구,태릉 [11149],12.78,16.002,19.499,12.78
11150,중랑구,태릉선수촌 [11150],13.323,16.467,20.041,13.323
11151,중랑구,태릉선수촌 [11151],13.384,16.54,20.105,13.384
11153,중랑구,한국스포츠정책과학원 [11153],13.587,16.728,20.309,13.587
11154,중랑구,삼육대앞 [11154],14.019,17.172,20.75,14.019
11158,중랑구,예수사랑교회 [11158],11.466,14.796,18.171,11.466
11159,노원구,서울과학기술대입구 [11159],10.781,15.033,17.577,10.781
11161,중랑구,공릉역1번출구 [11161],10.717,14.862,17.503,10.717
11162,중랑구,공릉역4번출구 [11162],10.685,14.845,17.472,10.685
11165,중랑구,공릉대동2차아파트 [11165],10.615,14.865,17.408,10.615
11166,노원구,노원문화원 [11166],10.65,14.981,17.449,10.65
11167,노원구,노원문화원 [11167],10.659,15.004,17.46,10.659
11168,노원구,용원초등학교 [11168],10.587,14.985,17.391,10.587
11180,노원구,상계주공9단지 [11180],12.879,18.554,19.63,12.879
11181,노원구,노원고등학교 [11181],12.538,18.326,19.277,12.538
11183,노원구,상계주공7단지 [11183],12.672,18.278,19.435,12.672
11184,노원구,대림아파트상가 [11184],12.648,18.269,19.41,12.648
11185,노원구,도봉면허시험장 [11185],12.449,17.969,19.226,12.449
11186,노원구,도봉면허시험장 [11186],12.417,17.951,19.193,12.417
11188,노원구,상계주공7단지.광림교회앞 [11188],12.866,18.348,19.642,12.866
11189,노원구,상계10동우체국 [11189],12.892,18.37,19.669,12.892
11192,노원구,온곡중학교노원정보도서관 [11192],12.878,18.271,19.663,12.878
11196,도봉구,수락산역3번출구 [11196],14.099,20.086,20.77,14.099
11197,도봉구,수락산역 [11197],14.097,20.101,20.765,14.097
11198,도봉구,노일초등학교 [11198],13.731,19.679,20.419,13.731
11199,도봉구,노원초등학교 [11199],13.695,19.618,20.388,13.695
11203,도봉구,수락리버시티아파트 [11203],15.267,21.394,21.881,15.267
11204,도봉구,수락중고등학교 [11204],14.641,20.708,21.283,14.641
11206,도봉구,은빛아파트2단지 [11206],14.383,20.418,21.038,14.383
11207,도봉구,홍파복지원미주아파트 [11207],14.398,20.426,21.054,14.398
11214,노원구,중앙하이츠2차아파트 [11214],12.605,17.785,19.41,12.605
11215,노원구,상계중학교정문 [11215],12.46,17.568,19.271,12.46
11219,노원구,상계119안전센터 [11219],12.809,17.815,19.623,12.809
11220,노원구,상계동주유소 [11220],13.078,18.168,19.886,13.078
11225,노원구,흥안운수종점 [11225],14.626,19.662,21.427,14.626
11244,노원구,상계주공3단지 [11244],12.013,17.38,18.81,12.013
11245,노원구,상계주공2단지 [11245],11.827,17.11,18.632,11.827
11248,노원구,마들근린공원.노원에코센터 [11248],11.352,16.629,18.161,11.352
11251,노원구,노원구청 [11251],12.023,17.583,18.801,12.023
11255,노원구,상계주공6단지 [11255],12.129,17.518,18.923,12.129
11256,노원구,상계주공4단지 [11256],11.95,17.264,18.752,11.95
11257,노원구,백병원 [11257],11.773,16.98,18.584,11.773
11267,도봉구,상계주공15단지 [11267],13.29,19.118,20.009,13.29
11268,도봉구,상계주공11단지 [11268],13.046,18.797,19.782,13.046
11269,노원구,상계주공10단지 [11269],12.792,18.461,19.545,12.792
11270,노원구,노원고등학교 [11270],12.569,18.366,19.306,12.569
11272,도봉구,상계주공14단지 [11272],13.379,19.21,20.096,13.379
11273,도봉구,상계주공12단지 [11273],13.166,18.932,19.898,13.166
11279,노원구,광운대역 [11279],9.689,14.191,16.489,9.689
11280,중랑구,월계현대아파트 [11280],9.598,13.92,16.382,9.598
11281,중랑구,월계현대아파트 [11281],9.566,13.865,16.346,9.566
11299,강북구,신창중학교후문 [11299],9.182,14.561,16.001,9.182
11301,강북구,염광고등학교 [11301],9.307,14.526,16.129,9.307
11302,노원구,월계주공1단지상가 [11302],9.343,14.477,16.164,9.343
11307,노원구,월계주공1단지 [11307],9.622,14.685,16.444,9.622
11310,노원구,월계주공108동앞롯데캐슬루나아파트 [11310],9.362,14.434,16.184,9.362
11311,노원구,인덕대학 [11311],9.67,14.669,16.492,9.67
11312,중랑구,한진한화그랑빌아파트 [11312],9.75,13.614,16.485,9.75
11315,중랑구,한천초등학교 [11315],10.072,14.08,16.832,10.072
11319,중랑구,월계미륭아파트 [11319],10.201,14.407,16.985,10.201
11321,노원구,월계삼호아파트 [11321],10.268,14.599,17.063,10.268
11323,노원구,월계삼호4차아파트 [11323],10.26,14.712,17.064,10.26
11329,노원구,월계역1번출구 [11329],10.36,15.356,17.182,10.36
11331,노원구,월계119안전센터 [11331],9.845,14.755,16.666,9.845
11332,노원구,신도브래뉴.한전노원변전소 [11332],9.933,14.753,16.751,9.933
11335,노원구,광운대학교 [11335],9.243,13.824,16.042,9.243
11340,노원구,월계보건지소 [11340],10.367,15.183,17.187,10.367
11347,노원구,상명고등학교.성원아파트 [11347],12.291,17.295,19.107,12.291
11349,노원구,은행사거리 [11349],12.632,17.328,19.454,12.632
11350,노원구,양지근린공원 [11350],12.459,17.097,19.28,12.459
11354,노원구,중계주공10단지 [11354],12.371,17.145,19.193,12.371
11355,노원구,롯데우성아파트 [11355],12.367,17.127,19.189,12.367
11357,노원구,중계구민체육센터 [11357],12.236,17.103,19.057,12.236
11359,노원구,을지중학교 [11359],12.496,17.414,19.315,12.496
11361,노원구,청암중.고등학교 [11361],12.818,17.712,19.636,12.818
11364,노원구,중계주공5단지514동 [11364],12.703,17.507,19.524,12.703
11366,노원구,중계역 [11366],11.524,16.573,18.343,11.524
11367,노원구,노원구민회관 [11367],11.263,16.101,18.085,11.263
11368,노원구,건영옴니백화점 [11368],11.084,16.006,17.906,11.084
11369,노원구,브라운스톤중계.우리은행앞 [11369],11.128,16.066,17.949,11.128
11370,노원구,서울아이티고등학교 [11370],11.292,16.384,18.11,11.292
11371,노원구,서울아이티고등학교 [11371],11.253,16.293,18.073,11.253
11372,노원구,어린이교통공원 [11372],11.546,16.689,18.361,11.546
11373,노원구,중계역 [11373],11.496,16.493,18.316,11.496
11375,노원구,중계건영2차아파트 [11375],11.745,16.81,18.562,11.745
11376,노원구,중계역2번출구 [11376],11.687,16.752,18.504,11.687
11377,노원구,상명초등학교 [11377],12.038,17.046,18.856,12.038
11378,노원구,중계3단지목련아파트 [11378],12.02,17.011,18.838,12.02
11379,노원구,상명고등학교 [11379],12.249,17.247,19.067,12.249
11380,노원구,목련아파트상가 [11380],12.078,16.977,18.899,12.078
11381,노원구,중계목화아파트4단지 [11381],11.9,16.647,18.722,11.9
11382,노원구,용동초등학교 [11382],11.647,16.449,18.469,11.647
11386,노원구,홈플러스중계점 [11386],11.505,16.288,18.327,11.505
11395,노원구,중계주공2단지 [11395],13.391,18.242,20.208,13.391
11398,노원구,중계1동주민센터 [11398],12.946,17.678,19.767,12.946
11403,노원구,노원문화예술회관.불암초등학교 [11403],13.003,17.559,19.825,13.003
11404,노원구,영신여자고등학교입구 [11404],12.997,17.539,19.819,12.997
11408,노원구,노원우체국 [11408],12.759,17.166,19.578,12.759
11415,노원구,대림벽산아파트 [11415],12.484,17.11,19.306,12.484
11416,노원구,하계역 [11416],11.189,15.91,18.009,11.189
11417,노원구,하계미성아파트 [11417],11.076,15.682,17.894,11.076
11418,중랑구,서울과학기술대앞 [11418],11.219,15.357,18.012,11.219
11419,노원구,중계주공9단지후문 [11419],12.181,16.705,19.001,12.181
11420,노원구,중계주공9단지후문 [11420],12.158,16.697,18.978,12.158
11421,노원구,삼익선경아파트후문.시립과학관 [11421],11.926,16.364,18.742,11.926
11425,노원구,하계미성아파트.을지병원 [11425],11.23,15.856,18.048,11.23
11426,노원구,하계역 [11426],11.254,15.886,18.073,11.254
11429,노원구,한성여객종점 [11429],11.37,15.959,18.189,11.37
11433,노원구,대진고등학교 [11433],11.602,16.092,18.418,11.602
11434,노원구,골마을근린공원 [11434],11.671,16.149,18.487,11.671
11440,노원구,동천학교 [11440],12.088,16.755,18.909,12.088
11442,노원구,하계현대아파트 [11442],11.999,16.797,18.821,11.999
11446,노원구,한천중학교 [11446],11.069,15.336,17.869,11.069
11447,노원구,하계역 [11447],11.132,15.843,17.953,11.132
11448,노원구,하계장미아파트 [11448],10.997,15.572,17.813,10.997
11451,노원구,중평초등학교 [11451],10.977,15.778,17.798,10.977
11452,노원구,하계극동아파트 [11452],10.711,15.463,17.53,10.711
11453,노원구,하계시영아파트 [11453],10.782,15.503,17.602,10.782
11455,노원구,하계장미아파트 [11455],10.945,15.627,17.764,10.945
11456,노원구,중평초등학교 [11456],10.982,15.81,17.804,10.982
11458,노원구,중계1동신안아파트 [11458],12.584,17.5,19.402,12.584
11464,중랑구,월계미성아파트 [11464],10.113,14.22,16.886,10.113
11469,노원구,하계1치안센터 [11469],11.159,15.545,17.968,11.159
11470,노원구,하계1치안센터 [11470],11.137,15.524,17.946,11.137
11503,도봉구,수락리버시티3.4단지 [11503],14.971,21.166,21.573,14.971
12106,은평구,연신내역 [12106],7.577,16.288,10.709,7.577
12107,은평구,선일하이츠빌라 [12107],8.095,16.82,11.226,8.095
12109,은평구,세명컴퓨터고등학교 [12109],8.335,17.076,11.553,8.335
12111,은평구,구파발역2번출구 [12111],9.399,18.168,12.782,9.399
12113,은평구,구파발역.롯데몰 [12113],9.465,18.234,12.837,9.465
12119,은평구,연신내역 [12119],7.483,16.191,10.615,7.483
12128,은평구,서부병원 [12128],6.126,14.66,8.785,6.126
12129,은평구,신진과학기술고교.이마트은평점 [12129],6.428,14.867,8.685,6.428
12133,은평구,서부병원 [12133],6.117,14.642,8.746,6.117
12134,은평구,은평세무서 [12134],5.956,14.532,8.822,5.956
12138,은평구,역촌역역촌오거리 [12138],6.655,15.262,9.46,6.655
12139,은평구,삼성타운 [12139],6.884,15.497,9.657,6.884
12140,은평구,구산역1번출구.예일여고 [12140],7.227,15.836,9.907,7.227
12141,은평구,역촌중앙시장 [12141],7.599,16.196,10.146,7.599
12145,은평구,806의무경찰대.우남아파트 [12145],8.53,17.105,10.809,8.53
12146,은평구,806의무경찰대.우남아파트 [12146],8.605,17.179,10.87,8.605
12147,은평구,선정중고등학교 [12147],8.249,16.811,10.532,8.249
12148,은평구,선진운수종점 [12148],7.931,16.501,10.3,7.931
12150,은평구,역촌중앙시장 [12150],7.579,16.172,10.114,7.579
12151,은평구,구산역2번출구.예일여고 [12151],7.248,15.852,9.9,7.248
12152,은평구,하나은행역촌동지점 [12152],6.987,15.597,9.723,6.987
12154,은평구,녹번초등학교.은평세무서 [12154],6.242,14.835,9.092,6.242
12155,은평구,응암초등학교 [12155],5.511,13.655,7.254,5.511
12157,은평구,응암오거리 [12157],6.051,14.227,7.686,6.051
12158,은평구,신사초등학교 [12158],6.408,14.604,7.98,6.408
12159,은평구,신사동고개사거리 [12159],6.847,15.061,8.344,6.847
12160,은평구,신사동고개사거리 [12160],6.816,15.02,8.295,6.816
12163,은평구,은평문화예술정보학교 [12163],5.794,13.948,7.46,5.794
12165,은평구,대림시장 [12165],5.913,13.995,7.364,5.913
12166,은평구,대림시장 [12166],5.913,14.033,7.455,5.913
12172,마포구,증산종합시장.증산중학교입구 [12172],6.527,14.132,6.75,6.527
12173,마포구,증산종합시장.증산중학교입구 [12173],6.5,14.098,6.719,6.5
12175,은평구,와산교 [12175],6.205,14.231,7.429,6.205
12177,은평구,신흥시장 [12177],6.426,14.706,8.217,6.426
12181,은평구,구산역2번출구.예일여고 [12181],7.242,15.826,9.814,7.242
12182,은평구,구산역1번출구 [12182],7.33,15.942,10.0,7.33
12184,은평구,연신내역.로데오거리 [12184],7.671,16.364,10.673,7.671
12185,은평구,연서시장 [12185],7.642,16.363,10.825,7.642
12186,은평구,종로약국 [12186],7.627,16.366,10.95,7.627
12187,은평구,불광지구대 [12187],7.637,16.392,11.107,7.637
12189,은평구,은평경찰서 [12189],8.044,16.82,11.765,8.044
12190,은평구,폭포동 [12190],8.268,17.046,12.113,8.268
12192,은평구,신도중학교 [12192],8.501,17.278,12.408,8.501
12195,은평구,은평노인종합복지관.신도중학교 [12195],8.418,17.196,12.313,8.418
12197,은평구,폭포동.은평노인종합복지관 [12197],8.333,17.111,12.187,8.333
12198,은평구,은평경찰서 [12198],8.099,16.875,11.818,8.099
12199,은평구,연신초등학교 [12199],7.89,16.661,11.54,7.89
12200,은평구,불광지구대 [12200],7.659,16.413,11.116,7.659
12202,은평구,연서시장 [12202],7.676,16.398,10.865,7.676
12204,은평구,은평연세병원 [12204],7.558,16.205,10.34,7.558
12205,은평구,구산역4번출구 [12205],7.37,15.981,10.028,7.37
12207,은평구,역말사거리 [12207],7.09,15.599,9.411,7.09
12208,은평구,역촌초등학교 [12208],6.829,15.283,9.029,6.829
12209,은평구,응암역2번출구 [12209],6.654,15.066,8.764,6.654
12225,은평구,불광롯데캐슬아파트 [12225],6.585,15.327,10.16,6.585
12227,은평구,진관초교입구 [12227],10.068,18.84,13.9,10.068
12229,은평구,푸르지오625동앞.관음사입구 [12229],10.165,18.927,14.136,10.165
12230,은평구,삼천리골입구56사단북한산부대 [12230],10.085,18.817,14.322,10.085
12232,은평구,흥국사 [12232],10.544,19.208,15.075,10.544
12234,은평구,북한산성입구 [12234],10.612,19.241,15.265,10.612
12235,은평구,흥국사 [12235],10.593,19.253,15.133,10.593
12236,은평구,백화사 [12236],10.309,19.007,14.716,10.309
12237,은평구,삼천리골입구56사단북한산부대 [12237],10.11,18.852,14.274,10.11
12238,은평구,진관초교관음사입구 [12238],10.113,18.882,13.998,10.113
12239,은평구,푸르지오618동앞.관음사입구 [12239],10.215,18.974,14.215,10.215
12240,은평구,진관중고교약수사입구 [12240],10.041,18.818,13.756,10.041
12243,은평구,이마트.은평점 [12243],6.434,14.879,8.705,6.434
12247,은평구,대조시장앞 [12247],6.533,15.201,9.648,6.533
12249,은평구,불광역.불광1동주민센터 [12249],6.229,14.949,9.72,6.229
12250,은평구,독박골.북한산래미안APT앞 [12250],5.953,14.721,9.945,5.953
12251,은평구,구기터널입구 [12251],5.7,14.478,10.005,5.7
12257,은평구,역촌오거리 [12257],6.613,15.245,9.536,6.613
12258,은평구,역촌역1번출구 [12258],6.547,15.127,9.269,6.547
12260,은평구,이마트.은평점 [12260],6.479,14.921,8.729,6.479
12264,은평구,백련산힐스테이트4차 [12264],5.535,13.801,7.575,5.535
12266,서대문구,충암고교앞.대주피오레아파트 [12266],5.367,13.541,7.235,5.367
12267,은평구,백련산힐스테이트2차 [12267],5.536,13.815,7.609,5.536
12280,은평구,불광대호아파트 [12280],6.688,15.439,10.318,6.688
12285,은평구,불광중학교 [12285],7.529,16.3,11.242,7.529
12289,은평구,북한산수자인아파트 [12289],7.325,16.094,11.043,7.325
12294,은평구,불광초등학교 [12294],6.543,15.267,9.985,6.543
12295,은평구,신사동고개사거리 [12295],6.79,15.002,8.298,6.79
12296,은평구,백련산SK뷰아이파크아파트 [12296],6.131,14.492,8.236,6.131
12304,은평구,신진과학기술고등학교 [12304],6.172,14.598,8.46,6.172
12305,은평구,응암시장 [12305],6.131,14.434,8.073,6.131
12307,은평구,서서울농협본점 [12307],6.077,14.36,7.981,6.077
12308,은평구,신진과학기술고등학교 [12308],6.141,14.571,8.449,6.141
12309,은평구,서부경찰서 [12309],6.329,14.877,8.983,6.329
12310,마포구,디지털미디어시티역 [12310],6.963,14.396,6.718,6.718
12314,마포구,덕은교.은평차고지앞 [12314],8.502,16.074,8.168,8.168
12315,마포구,덕은교.은평차고지앞 [12315],8.73,16.319,8.389,8.389
12316,마포구,수색교 [12316],8.148,15.653,7.751,7.751
12318,마포구,수색역 [12318],7.282,14.725,6.967,6.967
12319,마포구,디지털미디어시티역 [12319],6.881,14.279,6.594,6.594
12337,은평구,현대아파트앞 [12337],6.891,15.001,8.113,6.891
12350,은평구,제각말5단지.은편뉴타운도서관 [12350],8.844,17.605,12.99,8.844
12351,은평구,제가말5단지.은펑뉴타운도서관 [12351],8.718,17.486,12.799,8.718
12361,은평구,연신초등학교 [12361],7.895,16.668,11.571,7.895
12364,마포구,증산역.증산동주민센터 [12364],6.348,14.138,7.007,6.348
12365,은평구,연신초등학교.연신내성당 [12365],7.993,16.767,11.679,7.993
12366,은평구,신사동고개 [12366],6.891,15.175,8.565,6.891
12368,은평구,신사동고개 [12368],6.938,15.197,8.533,6.938
12381,은평구,녹번역 [12381],5.44,14.102,8.823,5.44
12422,마포구,연서중학교입구 [12422],6.193,14.137,7.234,6.193
12423,마포구,연서중학교입구 [12423],6.234,14.166,7.234,6.234
12424,은평구,지축교앞 [12424],10.246,19.023,13.707,10.246
12425,은평구,지축교앞 [12425],10.128,18.906,13.678,10.128
12426,은평구,진관중고교약수사입구 [12426],10.016,18.793,13.707,10.016
12427,은평구,응암3동주민센터 [12427],6.012,14.216,7.728,6.012
12429,은평구,롯데캐슬823동앞 [12429],9.77,18.548,13.365,9.77
12430,은평구,진관중고교.약수사앞 [12430],9.84,18.618,13.512,9.84
12431,은평구,아이파크701동앞 [12431],9.893,18.662,13.808,9.893
12432,은평구,푸르지오621동앞 [12432],10.043,18.8,14.08,10.043
12436,은평구,래미안909동앞 [12436],9.692,18.469,13.263,9.692
12437,은평구,하나고.삼천사.진관사입구 [12437],9.089,17.829,13.39,9.089
12441,은평구,입곡삼거리 [12441],10.144,18.859,14.477,10.144
12442,은평구,아이파크709동앞 [12442],9.832,18.605,13.674,9.832
12445,은평구,은진초교입구 [12445],8.757,17.517,12.109,8.757
12446,은평구,은진초교입구 [12446],8.774,17.536,12.138,8.774
12447,은평구,은평구민체육센터앞 [12447],8.729,17.497,12.179,8.729
12448,은평구,은평구민체육센터앞 [12448],8.718,17.487,12.205,8.718
12449,은평구,신도초중교입구.한국고전번역원 [12449],8.602,17.375,12.186,8.602
12450,은평구,신도초중교입구.한국고전번역원 [12450],8.535,17.311,12.196,8.535
12453,은평구,아이파크714동앞 [12453],9.843,18.617,13.664,9.843
12455,은평구,푸르지오604동앞 [12455],9.989,18.749,14.004,9.989
12456,은평구,푸르지오614동앞 [12456],10.139,18.89,14.229,10.139
12457,은평구,아이파크708동앞 [12457],9.89,18.662,13.761,9.89
12458,은평구,진관동주민센터 [12458],9.154,17.921,12.532,9.154
12459,은평구,진관동주민센터 [12459],9.167,17.934,12.549,9.167
12460,은평구,동부센트레빌324동앞 [12460],8.885,17.66,12.482,8.885
12461,은평구,두산위브253동앞 [12461],8.965,17.739,12.496,8.965
12462,은평구,동부센트레빌320동앞 [12462],8.735,17.513,12.479,8.735
12463,은평구,신도초교.은평메디텍고등학교 [12463],8.693,17.471,12.507,8.693
12464,은평구,하나고.삼천사.진관사입구 [12464],9.094,17.836,13.382,9.094
12465,은평구,두산위브205동앞 [12465],8.821,17.598,12.496,8.821
12466,은평구,래미안922동앞 [12466],9.981,18.759,13.589,9.981
12467,은평구,롯데캐슬820동앞 [12467],9.964,18.742,13.58,9.964
12471,은평구,기자촌11단지앞 [12471],8.596,17.37,12.569,8.596
12472,은평구,수국사입구 [12472],8.412,16.975,10.664,8.412
12474,은평구,신도초교.은평메디텍고등학교 [12474],8.616,17.393,12.487,8.616
12498,은평구,덕산중학교.씨티아파트 [12498],7.485,15.72,8.882,7.485
12499,은평구,덕산중학교.두산위브아파트 [12499],7.49,15.731,8.901,7.49
13019,서대문구,동교동삼거리 [13019],4.369,10.914,4.012,4.012
13023,서대문구,신촌오거리신촌역 [13023],3.65,10.14,3.965,3.65
13025,서대문구,이대역 [13025],2.896,9.653,4.377,2.896
13042,용산구,웨딩타운 [13042],2.451,9.345,4.643,2.451
13044,용산구,아현역 [13044],2.101,9.091,4.871,2.101
13109,마포구,사천교 [13109],5.319,12.45,5.171,5.171
