ARS,자치구,정류장이름,승차_일평균,하차_일평균,승하차_일평균,경유노선수
18149,금천구,남문시장.청춘빌딩 [18149],1007.7,476.0,1483.7,4.0
18150,금천구,금천우체국.독산1동주민센터 [18150],677.2,561.7,1238.9,2.0
18152,금천구,홈플러스금천점 [18152],214.0,329.2,543.2,2.0
18164,금천구,남서울힐스테이트.국립전통예술고 [18164],49.3,368.4,417.7,2.0
18165,금천구,금천폭포공원.천주교시흥성당 [18165],172.9,76.1,249.0,2.0
18166,금천구,박미마을 [18166],0.8,249.5,250.3,2.0
18170,금천구,석수역 [18170],167.1,1.1,168.2,1.0
18187,금천구,독산초등학교 [18187],120.0,531.3,651.3,3.0
18197,구로구,모두의학교.금천문화예술정보학교 [18197],2577.2,2942.5,5519.8,12.0
18198,구로구,관악구보훈회관.신림푸르지오 [18198],2148.1,1097.5,3245.6,12.0
18199,금천구,독산고등학교 [18199],104.8,192.2,297.0,1.0
18200,금천구,독산고등학교 [18200],157.1,159.1,316.3,2.0
18202,금천구,금천진로진학지원센터독산센터 [18202],113.3,190.7,304.0,3.0
18204,금천구,진도아파트 [18204],340.1,219.8,559.8,3.0
18207,구로구,마리오아울렛 [18207],78.5,664.5,743.0,3.0
18208,구로구,국민연금공단구로금천지사앞 [18208],744.1,1083.7,1827.8,2.0
18212,금천구,제일모직아울렛 [18212],194.0,339.0,533.0,3.0
18213,금천구,진도아파트 [18213],146.0,266.0,412.1,2.0
18214,금천구,현대지식산업센터 [18214],231.6,461.8,693.4,2.0
18219,금천구,범일운수종점 [18219],1997.9,12.4,2010.3,7.0
18222,구로구,디지털3단지.영창실업 [18222],0.7,123.2,123.9,1.0
18224,구로구,디지털3단지운동장 [18224],1.2,52.8,54.0,2.0
18232,금천구,금빛공원앞 [18232],73.9,148.0,221.9,2.0
18234,금천구,경동택배 [18234],67.7,56.0,123.7,2.0
18236,금천구,대우당약국 [18236],6.4,319.5,325.9,2.0
18239,금천구,시흥대교 [18239],446.5,525.5,972.0,4.0
18240,구로구,가산디지털단지역1호선 [18240],845.6,231.5,1077.1,5.0
18643,금천구,독산역 [18643],344.6,198.3,542.9,1.0
18671,구로구,산업단지백양사 [18671],,,,
