역명,ROUTE,위도,경도,역_승하차_일평균
신논현,신분당선(연장2),37.504598,127.02506,64687.0
강남,신분당선,37.496837,127.028104,159206.0
양재(서초구청),신분당선,37.483809,127.034653,77381.0
양재시민의숲(매헌),신분당선,37.470023,127.03842,
청계산입구,신분당선,37.447211,127.055664,
판교,신분당선,37.394761,127.112217,11899.0
정자,신분당선,37.367098,127.108403,38323.0
미금,신분당선(연장),37.349982,127.108918,31697.0
동천,신분당선(연장),37.337928,127.102976,
수지구청,신분당선(연장),37.322702,127.095026,
성복,신분당선(연장),37.313335,127.0801,
상현,신분당선(연장),37.297664,127.069342,
광교중앙(아주대),신분당선(연장),37.288617,127.051478,
광교(경기대),신분당선(연장),37.30211,127.044483,
샛강,신림선,37.5170969,126.929399,19670.0
대방,신림선,37.5133059,126.9257265,28716.0
서울지방병무청,신림선,37.5060464,126.9227083,6913.0
보라매,신림선,37.5002739,126.9204355,23209.0
보라매공원,신림선,37.4955691,126.9180827,5245.0
보라매병원,신림선,37.4929598,126.9234964,15982.0
당곡,신림선,37.4902998,126.9275133,9701.0
신림,신림선,37.4849266,126.9296159,117777.0
서원,신림선,37.4782341,126.9330365,6976.0
서울대벤처타운,신림선,37.4720019,126.9339351,20138.0
관악산(서울대),신림선,37.4691018,126.9450639,7283.0
기흥,에버라인선,37.275449,127.116665,22008.0
강남대,에버라인선,37.270161,127.126033,
지석,에버라인선,37.269606,127.136515,
어정,에버라인선,37.274917,127.143714,
동백,에버라인선,37.269043,127.152716,
초당,에버라인선,37.260752,127.159443,
삼가,에버라인선,37.242115,127.168075,
시청.용인대,에버라인선,37.239151,127.178406,
명지대,에버라인선,37.237964,127.190294,
김량장,에버라인선,37.237247,127.198781,
운동장.송담대,에버라인선,37.237845,127.209198,
고진,에버라인선,37.24484,127.214251,
보평,에버라인선,37.258965,127.218457,
둔전,에버라인선,37.267051,127.21364,
전대.에버랜드,에버라인선,37.285342,127.219561,
발곡,의정부선,37.727048,127.052803,
회룡,의정부선,37.725006,127.047073,27500.0
범골,의정부선,37.728755,127.04353,
경전철의정부,의정부선,37.737202,127.043257,
의정부시청,의정부선,37.739256,127.034781,
흥선,의정부선,37.743302,127.037023,
의정부중앙,의정부선,37.743676,127.049565,
동오,의정부선,37.745271,127.056947,
새말,의정부선,37.748885,127.06362,
경기도청북부청사,의정부선,37.75059,127.071495,
효자,의정부선,37.754025,127.076902,
곤제,의정부선,37.750471,127.083715,
어룡,의정부선,37.742802,127.085035,
송산,의정부선,37.737279,127.087159,
탑석,의정부선,37.733579,127.088704,
북한산우이,우이신설선,37.662909,127.012706,6777.0
솔밭공원,우이신설선,37.65603,127.013273,5317.0
4.19민주묘지,우이신설선,37.649502,127.013684,8488.0
가오리,우이신설선,37.641537,127.016789,8958.0
화계,우이신설선,37.634133,127.017511,7597.0
삼양,우이신설선,37.626914,127.018106,5303.0
삼양사거리,우이신설선,37.621337,127.020473,5707.0
솔샘,우이신설선,37.620238,127.013626,11698.0
북한산보국문,우이신설선,37.612072,127.008251,13112.0
정릉,우이신설선,37.603133,127.013396,9653.0
성신여대입구(돈암),우이신설선,37.592467,127.016516,57586.0
보문,우이신설선,37.585286,127.019381,20658.0
신설동,우이신설선,37.576095,127.023242,42844.0
소사,서해선,37.483279,126.795023,17031.0
소새울,서해선,37.468467,126.797252,
시흥대야,서해선,37.450145,126.793041,
신천,서해선,37.439066,126.786788,
신현,서해선,37.409008,126.788017,
시흥시청,서해선,37.382223,126.805625,
시흥능곡,서해선,37.369864,126.808573,
달미,서해선,37.348847,126.809409,
선부,서해선,37.334353,126.809904,
초지,서해선,37.319619,126.808147,10527.0
원곡,서해선,37.31321,126.796261,
원시,서해선,37.302371,126.786691,
양촌,김포골드라인,37.642379,126.614309,
구래,김포골드라인,37.645384,126.628633,
마산,김포골드라인,37.640732,126.644344,
장기,김포골드라인,37.643986,126.669017,
운양,김포골드라인,37.653867,126.68393,
걸포북변,김포골드라인,37.63165,126.705975,
사우(김포시청),김포골드라인,37.620249,126.719731,
풍무,김포골드라인,37.612488,126.732387,
고촌,김포골드라인,37.601243,126.770345,
김포공항,김포골드라인,37.56236,126.801868,62460.0
운정,수도권 광역급행철도,37.71614,126.72841,15464.0
킨텍스,수도권 광역급행철도,37.66532,126.74843,
대곡,수도권 광역급행철도,37.63191,126.81113,23640.0
연신내,수도권 광역급행철도,37.61878,126.9213,75817.0
서울,수도권 광역급행철도,37.55569,126.97296,
삼성,수도권 광역급행철도,37.50887,127.06324,107333.0
수서,수도권 광역급행철도,37.48637,127.10161,75420.0
성남,수도권 광역급행철도,37.39467,127.12058,2583.0
구성,수도권 광역급행철도,37.29913,127.10389,16134.0
동탄,수도권 광역급행철도,37.20034,127.09569,
