ARS,자치구,정류장이름,POI_total_100m,POI_total_300m,POI_음식_300m,POI_소매_300m,POI_과학·기술_300m,POI_수리·개인_300m,POI_교육_300m,POI_부동산_300m,POI_시설관리·임대_300m,POI_예술·스포츠_300m,POI_보건의료_300m,POI_숙박_300m,POI_total_500m
04273,성동구,숭신초등학교 [04273],1,328,117,58,15,55,32,22,6,10,12,1,1039
04275,성동구,극동아파트 [04275],12,81,23,15,3,8,17,6,2,3,4,0,517
04276,성동구,풍림아파트 [04276],5,54,14,13,1,9,6,8,1,2,0,0,394
04278,성동구,대림아파트 [04278],11,190,42,47,9,25,32,15,1,8,11,0,598
04280,성동구,행당역 [04280],150,352,57,85,18,48,92,22,3,8,18,1,744
04290,성동구,왕십리자이.신당현대아파트 [04290],14,55,7,12,4,12,7,10,1,2,0,0,546
04295,성동구,황학교.텐즈힐몰 [04295],24,449,144,126,26,59,34,19,13,15,8,5,1882
04301,성동구,왕십리광장 [04301],44,761,235,188,67,80,44,17,28,34,44,24,2196
04302,성동구,왕십리역4번출구 [04302],30,804,241,187,91,80,46,18,39,32,41,29,2218
04305,성동구,한양여대앞 [04305],0,27,11,6,1,1,3,1,2,1,1,0,242
04574,성동구,성동구청 [04574],161,747,235,110,153,71,33,20,45,27,21,32,1785
04753,성동구,왕십리역7번출구 [04753],49,867,235,199,120,85,49,19,47,36,50,27,2198
05101,광진구,군자교 [05101],55,236,53,60,45,39,5,10,17,2,0,5,901
05115,광진구,국립서울병원앞 [05115],70,733,230,207,44,84,32,31,17,40,41,7,1463
05116,광진구,중곡동종점 [05116],54,319,80,58,45,51,33,13,18,15,3,3,983
05118,광진구,신성시장앞 [05118],164,584,137,173,53,79,30,23,20,38,29,2,1275
05121,광진구,면곡시장 [05121],15,169,47,37,21,32,4,7,11,7,2,1,797
05132,광진구,용곡삼거리 [05132],55,262,71,55,22,42,17,14,19,13,7,2,831
05135,광진구,용암사입구 [05135],54,155,28,33,17,28,16,6,18,4,4,1,688
05136,광진구,대원고교앞 [05136],52,241,60,44,31,34,30,10,17,7,5,3,820
05142,광진구,구의사거리.광진소방서앞 [05142],20,227,53,41,37,29,29,9,8,6,9,6,625
05143,광진구,어린이회관 [05143],13,169,68,17,27,6,14,5,23,6,1,2,381
05145,광진구,광진경찰서 [05145],66,450,128,65,79,58,46,29,10,20,9,6,1236
05146,광진구,광진경찰서 [05146],59,394,116,68,50,51,48,24,10,11,8,8,939
05148,광진구,광진구청 [05148],106,823,261,104,132,94,45,39,37,66,33,12,1688
05149,광진구,광진구청.구의역2번출구 [05149],100,748,268,141,71,71,24,42,32,56,22,21,1704
05150,광진구,래미안구의파크스위트 [05150],89,379,108,77,43,61,29,20,10,11,11,9,908
05152,광진구,구의2동주민센터입구 [05152],60,342,85,54,38,39,46,17,23,18,8,14,879
05154,광진구,구의사거리 [05154],40,326,86,71,41,44,26,15,8,13,13,9,782
05155,광진구,래미안구의파크스위트 [05155],69,385,109,77,44,61,32,21,10,11,11,9,885
05165,광진구,올림픽대교북단사거리 [05165],55,287,50,50,23,23,100,6,5,18,9,3,919
05166,광진구,광장동현대아파트앞 [05166],62,381,56,58,12,26,138,28,2,22,39,0,735
05167,광진구,광장현대아파트앞 [05167],28,247,33,41,10,23,75,30,2,13,20,0,617
05168,광진구,광나루역.극동아파트 [05168],12,156,49,29,9,12,23,8,3,8,13,2,350
05173,강동구,워커힐아파트앞 [05173],74,259,36,42,81,13,23,20,31,8,3,2,399
05174,강동구,워커힐입구 [05174],21,257,36,42,81,13,23,20,29,8,3,2,409
05175,광진구,광진구청 [05175],100,819,252,112,130,87,46,36,37,65,41,13,1693
05176,광진구,자양사거리 [05176],117,856,225,166,130,88,42,39,41,59,56,10,1792
05177,광진구,자양사거리 [05177],104,827,211,170,123,92,43,38,39,47,56,8,1737
05185,광진구,국민은행자양지점앞 [05185],86,685,176,173,54,123,43,39,22,31,17,7,1401
05187,광진구,자양아파트앞 [05187],101,444,104,93,57,85,29,24,17,15,16,4,1201
05188,광진구,자양동잠실대교북단 [05188],56,437,105,94,58,75,27,24,13,18,19,4,1401
05189,광진구,신자초등학교앞 [05189],39,267,77,47,29,36,33,11,12,15,3,4,774
05194,광진구,자양동잠실대교북단 [05194],87,341,75,72,50,57,23,19,13,14,15,3,909
05201,광진구,신양초등학교앞 [05201],54,490,140,95,33,54,77,39,8,21,18,5,1348
05203,광진구,뚝도변전소앞 [05203],35,554,162,114,54,62,64,28,14,32,19,5,1695
05204,광진구,건대역 [05204],77,845,263,262,58,77,37,26,14,53,50,5,2191
05210,광진구,자양우성아파트앞 [05210],10,336,73,46,23,34,77,30,7,21,22,3,990
05212,광진구,자양고교앞 [05212],77,304,65,45,17,30,78,31,5,17,14,2,1286
05218,광진구,건대로데오거리입구 [05218],235,983,341,283,63,84,35,22,15,69,64,7,2226
05220,광진구,영동대교북단 [05220],66,386,117,83,51,54,13,30,14,13,3,8,1165
05222,광진구,신양초등학교앞 [05222],78,508,138,106,52,69,59,41,8,17,11,7,1003
05223,광진구,자양4동주민센터앞 [05223],69,492,134,106,56,65,51,31,11,20,11,7,998
05226,광진구,광진광장 [05226],193,800,302,112,97,83,48,27,32,53,18,28,1685
05231,광진구,어린이대공원역3번출구 [05231],72,546,215,55,79,51,35,25,45,30,2,9,969
05234,광진구,어린이대공원역.화양천주교회 [05234],121,663,266,84,77,70,39,29,43,36,2,17,1537
05237,광진구,군자교남단 [05237],34,242,59,65,38,38,12,2,20,4,0,4,1049
05247,광진구,장안초등학교 [05247],138,743,261,116,87,69,49,26,25,55,24,31,1809
05249,광진구,화양사거리 [05249],134,765,256,137,105,78,30,27,32,45,21,34,2003
05250,광진구,화양리 [05250],148,736,282,105,85,70,45,24,26,54,17,28,1684
05251,광진구,어린이대공원앞.세종대학교 [05251],0,94,41,12,13,6,9,1,5,6,1,0,1026
05258,광진구,어린이대공원후문 [05258],118,569,195,114,33,51,46,29,27,33,33,8,999
05261,광진구,제일은행사거리 [05261],63,395,105,64,33,46,64,19,11,28,19,6,1165
05265,강동구,광진청소년수련관 [05265],22,312,108,54,28,47,25,11,9,14,8,8,453
05272,광진구,구의3동주민센터 [05272],87,569,159,85,46,66,94,25,13,51,23,7,2358
05695,광진구,✈️ 광진구의회 [05695],71,821,246,266,55,78,39,25,14,49,45,4,2242
05697,광진구,✈️ 건국대학교 [05697],122,797,396,137,39,70,20,17,5,63,35,15,2109
05698,광진구,✈️ 세종대학교 [05698],0,81,37,11,11,3,9,0,5,4,1,0,1014
05699,광진구,✈️ 세종대학교 [05699],0,41,14,6,6,2,6,0,4,3,0,0,976
06101,동대문구,신설동역 [06101],165,937,347,173,96,52,68,39,45,49,26,42,2055
06102,동대문구,신설동역 [06102],152,924,349,177,92,52,67,38,43,48,26,32,2092
06103,동대문구,용두동한국의류시험연구원 [06103],68,512,198,97,53,44,30,24,19,24,10,13,1667
06104,동대문구,용두로타리한국의류시험연구원 [06104],53,544,199,112,56,53,31,26,17,27,12,11,1684
06106,동대문구,제기역약령시장 [06106],212,1152,241,557,69,57,41,32,31,32,70,22,2229
06107,성북구,신설동역1번출구 [06107],107,856,312,158,72,53,61,35,46,48,28,43,1965
06112,동대문구,청량리미주상가앞 [06112],164,624,115,221,103,45,27,23,23,25,29,13,1688
06113,동대문구,서울성심병원 [06113],210,594,195,177,55,63,17,20,22,19,7,19,1039
06118,동대문구,삼육서울병원 [06118],117,470,134,98,31,65,38,27,26,26,15,10,1035
06121,중랑구,중랑교 [06121],63,126,32,19,5,15,22,10,3,9,10,1,397
06126,동대문구,외대앞 [06126],103,514,206,82,29,46,34,34,7,29,34,13,980
06129,중랑구,이문동교회 [06129],43,155,30,28,11,20,33,16,2,0,12,3,617
06130,중랑구,의릉입구 [06130],57,260,72,56,13,37,39,23,4,5,7,4,556
06131,중랑구,의릉입구 [06131],68,261,69,56,10,40,39,24,5,3,8,7,532
06133,중랑구,한천로쌍용아파트앞 [06133],17,121,23,29,17,18,13,8,7,3,2,1,312
06134,중랑구,이문동삼익아파트 [06134],10,77,12,21,10,12,3,12,5,0,2,0,437
06136,중랑구,동일스위트리버아파트.휘봉고교 [06136],7,15,6,4,0,2,2,1,0,0,0,0,183
06137,중랑구,휘경유수지견인차고지앞 [06137],7,9,4,2,0,1,1,1,0,0,0,0,216
06140,동대문구,서울준법지원센터.동성빌라 [06140],6,35,11,7,2,2,5,2,1,4,1,0,98
06141,동대문구,서울준법지원센터.동성빌라 [06141],6,35,11,7,2,2,5,2,1,4,1,0,94
06142,동대문구,휘경여중고휘경주공아파트앞 [06142],19,113,32,32,4,12,11,5,2,9,6,0,410
06143,동대문구,휘경여중고휘경주공아파트 [06143],21,157,43,45,4,18,17,6,2,14,8,0,499
06144,동대문구,장안동현대아파트앞 [06144],15,410,132,108,19,48,37,14,4,24,22,2,715
06145,동대문구,전곡시장앞 [06145],65,397,117,105,30,60,32,17,4,14,16,2,869
06147,동대문구,답십리촬영소.우성그린아파트 [06147],36,328,82,92,26,60,15,16,10,20,5,2,1028
06148,동대문구,촬영소사거리 [06148],67,348,85,98,27,58,18,17,10,24,8,3,1093
06149,동대문구,풍안시장.동답초교 [06149],44,445,121,130,32,65,29,16,16,23,13,0,1156
06150,동대문구,동답한신동아아파트 [06150],93,395,108,104,32,72,25,15,14,13,12,0,1031
06152,동대문구,동아.위더스빌아파트 [06152],67,342,76,96,35,70,16,15,10,16,5,3,1317
06153,동대문구,동아.위더스빌아파트 [06153],62,337,79,95,35,62,15,15,12,16,5,3,1378
06154,동대문구,하나은행장안동지점 [06154],115,366,40,158,53,48,8,14,30,4,2,9,1098
06157,동대문구,고미술상가 [06157],94,410,70,154,55,46,10,13,28,13,17,4,1204
