ARS,자치구,정류장이름,POI_total_100m,POI_total_300m,POI_음식_300m,POI_소매_300m,POI_과학·기술_300m,POI_수리·개인_300m,POI_교육_300m,POI_부동산_300m,POI_시설관리·임대_300m,POI_예술·스포츠_300m,POI_보건의료_300m,POI_숙박_300m,POI_total_500m
09175,강북구,삼양동사거리입구 [09175],72,492,130,108,45,93,28,33,14,16,16,9,1292
09176,강북구,강북보건소 [09176],6,127,39,25,5,35,12,4,2,3,2,0,385
09177,강북구,신창교.강북소방서 [09177],7,136,39,35,9,34,7,5,2,2,3,0,433
09179,강북구,강북보건소 [09179],7,133,39,32,5,32,12,5,2,3,3,0,393
09181,강북구,초안교 [09181],0,145,45,28,4,26,18,8,1,9,6,0,449
09182,강북구,번동주공3단지 [09182],28,136,40,30,6,25,16,4,4,10,1,0,347
09183,강북구,번동주공3단지 [09183],25,117,35,24,6,25,11,2,4,9,1,0,343
09185,강북구,번동주공1단지 [09185],15,74,18,14,3,16,8,6,1,5,3,0,300
09186,강북구,오현초등학교 [09186],64,129,29,26,6,13,27,12,2,6,8,0,323
09187,강북구,북서울꿈의숲 [09187],39,172,65,31,9,23,15,10,4,12,3,0,353
09203,강북구,수유중앙시장 [09203],96,989,427,163,60,131,27,40,26,90,14,11,2469
09205,강북구,대한병원 [09205],110,1238,413,206,142,140,33,47,60,89,75,33,2366
09218,강북구,솔샘중고등학교.팔팔·미송경로당 [09218],5,48,4,14,8,11,6,2,3,0,0,0,344
09225,강북구,SK아파트벽산아파트상가 [09225],62,141,24,23,5,25,44,18,0,1,1,0,344
09228,강북구,번동주공아파트3단지4단지 [09228],59,200,64,44,7,25,25,5,1,14,15,0,371
09233,강북구,번동해모로아파트 [09233],7,56,13,9,6,12,7,6,1,2,0,0,258
09239,강북구,북서울꿈의숲 [09239],0,8,4,2,0,0,0,0,0,2,0,0,46
09240,강북구,꿈의숲롯데캐슬아파트 [09240],5,86,20,11,8,19,14,8,4,1,1,0,276
09243,강북구,경남아너스빌.꿈의숲해링턴아파트 [09243],44,164,42,23,16,42,22,10,7,1,1,0,843
09261,성북구,미아사거리역 [09261],48,838,268,301,24,58,38,22,20,44,47,16,1807
09271,강북구,북서울꿈의숲 [09271],0,8,4,2,0,0,0,0,0,2,0,0,40
09275,강북구,삼각산동삼각산아이원아파트후문 [09275],18,191,44,32,10,26,39,21,4,8,7,0,806
09286,강북구,우이동도선사입구 [09286],15,90,52,22,6,2,0,0,0,7,0,1,174
09295,강북구,삼각산동삼각산아이원아파트정문 [09295],29,153,29,25,16,13,44,7,4,7,8,0,624
09302,강북구,삼각산고.래미안트리베라 [09302],31,145,37,19,18,25,11,20,12,2,1,0,494
09303,성북구,삼각산고.래미안트리베라 [09303],8,139,39,18,14,24,12,20,9,2,1,0,528
10107,도봉구,서울북부지방법원.검찰청.도봉역성황당 [10107],59,296,78,56,79,33,7,9,14,16,2,2,654
10109,도봉구,도봉견인차량보관소 [10109],38,342,107,73,40,44,9,18,20,17,6,8,779
10116,도봉구,방학사거리 [10116],22,275,78,65,25,49,9,12,15,16,6,0,912
10117,도봉구,도봉보건소 [10117],73,518,167,97,24,78,48,21,13,46,21,3,984
10120,강북구,함석헌기념관.정의여중고 [10120],75,275,70,70,25,39,30,6,13,6,13,3,745
10121,도봉구,도봉구민회관 [10121],18,369,95,75,22,44,61,10,14,28,18,2,914
10122,도봉구,도봉구민회관 [10122],39,404,113,82,24,49,53,13,12,35,21,2,941
10124,강북구,쌍문역.쌍문시장 [10124],239,858,273,198,38,138,38,40,22,45,58,8,1277
10126,강북구,쌍문역 [10126],230,898,290,203,40,147,39,44,22,49,56,8,1273
10133,도봉구,도봉구청 [10133],82,466,154,82,40,55,50,17,13,21,32,2,992
10139,노원구,자운고등학교앞 [10139],8,94,19,11,8,18,20,12,0,2,4,0,221
10141,노원구,창동동아청솔아파트 [10141],24,114,41,23,8,14,12,7,2,2,5,0,1090
10144,노원구,창동농협물류센터 [10144],68,596,173,80,114,44,56,20,44,31,25,9,1220
10149,노원구,창동주공19단지 [10149],23,78,15,22,2,11,11,8,3,4,2,0,519
10150,노원구,창동주공19단지 [10150],23,88,18,24,3,14,12,8,3,4,2,0,543
10151,노원구,창동주공18단지 [10151],4,48,9,10,0,6,11,4,3,4,1,0,195
10152,노원구,창동주공18단지 [10152],3,48,9,10,0,6,11,4,3,4,1,0,206
10156,도봉구,도봉역 [10156],33,205,26,52,55,30,9,15,11,1,5,1,615
10158,도봉구,노원교 [10158],2,106,14,30,40,6,2,5,8,1,0,0,595
10159,도봉구,노원교 [10159],2,96,11,31,31,6,2,5,9,1,0,0,548
10178,도봉구,쌍문동청구아파트 [10178],53,371,78,65,19,63,71,17,4,28,26,0,1036
10184,강북구,연산군.정의공주묘 [10184],5,46,21,9,1,5,6,1,1,1,1,0,159
10186,도봉구,방학동신동아타워 [10186],39,154,35,38,6,20,28,7,1,12,7,0,452
10189,도봉구,방학동신동아아파트 [10189],54,265,55,56,19,42,37,4,6,27,19,0,771
10190,도봉구,방학동신동아아파트 [10190],98,317,73,68,22,50,41,7,6,30,20,0,877
10191,도봉구,국민은행방학지점 [10191],86,425,113,111,27,68,32,9,6,37,20,2,1127
10193,도봉구,신한은행방학동지점 [10193],70,453,149,95,36,66,20,17,5,45,18,2,1217
10194,도봉구,신한은행방학동지점 [10194],50,515,167,135,34,67,19,18,4,47,22,2,1221
10195,도봉구,방학사거리 [10195],59,427,136,107,26,64,11,16,18,34,15,0,1081
10200,강북구,쌍문동청한빌라 [10200],13,214,63,62,12,29,8,7,6,15,10,2,314
10204,강북구,초당초등학교 [10204],14,33,8,4,1,2,14,3,0,1,0,0,239
10206,강북구,방학동우성아파트 [10206],6,63,15,12,6,5,18,6,0,1,0,0,267
10210,강북구,쌍문동성원아파트 [10210],39,216,45,42,13,33,55,13,1,13,1,0,442
10213,도봉구,쌍문동현대.한양아파트 [10213],24,254,40,48,9,44,73,13,1,17,9,0,660
10214,도봉구,쌍문동삼익금호1차아파트 [10214],89,342,77,59,14,54,72,18,4,25,19,0,916
10216,도봉구,도봉구보건소앞 [10216],90,545,175,107,24,67,62,15,15,50,27,3,1059
10218,강북구,북서울교회 [10218],31,239,68,69,15,30,10,9,5,16,15,2,315
10221,강북구,덕성여대입구 [10221],86,228,99,48,18,15,18,4,10,11,3,2,492
10224,강북구,숭미초등학교 [10224],25,188,36,37,17,36,31,14,5,8,4,0,477
10231,노원구,도봉등기소 [10231],11,411,93,73,30,41,60,28,17,29,38,2,1139
10232,노원구,도봉등기소 [10232],10,453,128,81,34,40,55,24,18,31,40,2,1220
10234,노원구,창동역서측 [10234],197,899,194,378,54,52,76,29,20,46,45,5,1521
10235,노원구,창4동주민센터 [10235],49,553,136,78,110,41,58,25,44,30,22,9,1078
10241,노원구,창동주공4단지 [10241],16,43,5,8,7,10,7,5,0,1,0,0,75
10242,노원구,창동주공4단지 [10242],17,40,4,6,7,10,7,5,0,1,0,0,73
10251,강북구,창동서울탁주앞 [10251],67,448,124,173,23,54,9,9,10,24,22,0,882
10259,강북구,KT도봉지점 [10259],71,786,274,165,42,124,34,32,13,47,49,6,1317
10265,노원구,창동역동측 [10265],182,934,196,358,126,48,63,21,48,35,30,9,1500
10313,강북구,금용아파트 [10313],9,288,79,93,19,41,17,6,10,16,7,0,962
10335,노원구,창동농협물류센터 [10335],52,875,175,352,117,43,58,19,45,32,25,9,1337
10342,강북구,한국사회봉사회 [10342],1,55,31,9,2,6,0,1,0,5,0,1,194
10564,강북구,청구아파트 [10564],22,201,43,40,11,27,52,12,1,13,2,0,314
10706,노원구,창일중학교 [10706],15,133,23,26,25,13,22,11,3,3,7,0,1139
10747,강북구,청구아파트 [10747],22,187,41,35,11,26,49,10,1,13,1,0,310
11101,중랑구,공릉시장 [11101],99,700,209,194,70,103,30,18,23,29,17,7,1556
11103,중랑구,태릉입구역4번출구 [11103],88,722,224,162,93,93,30,23,32,28,28,9,1342
11104,중랑구,태릉입구역3번출구 [11104],65,674,202,154,92,88,28,22,30,23,28,7,1287
11114,중랑구,주유소앞다운복지관 [11114],31,507,162,118,69,51,33,17,15,26,9,7,1349
11117,중랑구,태릉입구역7번출구 [11117],94,626,201,138,81,68,25,22,23,27,29,12,1361
11127,중랑구,원자력병원 [11127],6,92,24,16,6,8,15,14,1,4,4,0,475
11134,중랑구,효성화운트빌원자력병원후문 [11134],0,62,8,14,2,8,17,6,1,3,3,0,178
11135,중랑구,우방아파트 [11135],9,81,12,15,2,12,25,7,1,5,2,0,203
11138,중랑구,청솔아파트 [11138],5,116,30,18,3,15,29,8,1,8,4,0,298
11140,중랑구,화랑대사거리 [11140],8,60,16,7,2,6,18,6,0,3,2,0,232
11141,중랑구,화랑대사거리 [11141],8,66,18,8,2,7,18,7,1,3,2,0,242
11142,중랑구,경춘선숲길.화랑대역공원 [11142],1,62,22,7,1,8,15,6,1,2,0,0,156
11144,중랑구,서울여대.육군사관학교행정안내소 [11144],3,9,7,1,0,0,1,0,0,0,0,0,52
11145,중랑구,서울여대.육군사관학교행정안내소 [11145],3,36,23,8,0,0,4,0,1,0,0,0,61
11146,중랑구,태릉국제사격장 [11146],0,7,4,1,0,0,2,0,0,0,0,0,40
11148,중랑구,태릉 [11148],4,4,1,1,0,0,2,0,0,0,0,0,14
11149,중랑구,태릉 [11149],4,4,1,1,0,0,2,0,0,0,0,0,14
11150,중랑구,태릉선수촌 [11150],0,2,0,2,0,0,0,0,0,0,0,0,2
11151,중랑구,태릉선수촌 [11151],0,2,0,2,0,0,0,0,0,0,0,0,2
11153,중랑구,한국스포츠정책과학원 [11153],0,0,0,0,0,0,0,0,0,0,0,0,2
11154,중랑구,삼육대앞 [11154],1,6,0,6,0,0,0,0,0,0,0,0,6
11158,중랑구,예수사랑교회 [11158],25,67,19,6,2,6,20,8,0,4,2,0,266
11159,노원구,서울과학기술대입구 [11159],61,281,79,54,25,35,28,9,2,26,23,0,769
11161,중랑구,공릉역1번출구 [11161],56,540,190,102,53,58,37,18,10,38,33,1,1106
11162,중랑구,공릉역4번출구 [11162],61,525,179,98,57,57,35,16,11,38,33,1,1052
11165,중랑구,공릉대동2차아파트 [11165],56,353,106,64,29,40,34,12,7,33,28,0,723
11166,노원구,노원문화원 [11166],62,226,54,47,20,31,27,9,1,20,17,0,504
11167,노원구,노원문화원 [11167],41,216,48,47,19,30,25,9,2,18,18,0,472
11168,노원구,용원초등학교 [11168],11,172,39,36,12,25,21,9,2,13,15,0,358
11180,노원구,상계주공9단지 [11180],1,191,30,36,5,23,51,14,3,12,17,0,492
11181,노원구,노원고등학교 [11181],0,48,16,8,3,5,9,2,1,4,0,0,148
11183,노원구,상계주공7단지 [11183],5,191,35,36,11,28,50,15,6,6,2,2,518
11184,노원구,대림아파트상가 [11184],18,164,31,31,7,23,48,12,4,5,2,1,468
11185,노원구,도봉면허시험장 [11185],3,940,216,332,43,92,101,20,23,57,50,6,2198
11186,노원구,도봉면허시험장 [11186],3,916,210,327,44,88,99,18,22,50,48,10,2191
11188,노원구,상계주공7단지.광림교회앞 [11188],20,234,66,40,13,43,40,12,5,7,3,5,1039
11189,노원구,상계10동우체국 [11189],1,205,47,38,14,38,42,12,5,5,2,2,1007
11192,노원구,온곡중학교노원정보도서관 [11192],20,483,148,85,33,83,58,20,16,24,7,9,1716
11196,도봉구,수락산역3번출구 [11196],117,540,196,115,27,61,23,16,16,51,32,3,896
11197,도봉구,수락산역 [11197],106,548,191,120,27,62,23,17,20,53,32,3,880
11198,도봉구,노일초등학교 [11198],30,369,134,78,25,42,33,8,11,29,8,1,785
11199,도봉구,노원초등학교 [11199],27,313,107,59,21,38,35,10,7,29,7,0,738
11203,도봉구,수락리버시티아파트 [11203],0,13,2,5,0,3,2,1,0,0,0,0,49
11204,도봉구,수락중고등학교 [11204],0,177,33,28,26,30,27,13,13,4,3,0,289
11206,도봉구,은빛아파트2단지 [11206],117,358,79,70,40,52,34,19,18,23,21,2,589
11207,도봉구,홍파복지원미주아파트 [11207],118,348,77,68,40,49,34,19,18,21,21,1,586
11214,노원구,중앙하이츠2차아파트 [11214],31,364,157,44,21,44,35,19,4,31,9,0,1542
11215,노원구,상계중학교정문 [11215],17,109,19,20,12,20,21,11,2,1,3,0,650
11219,노원구,상계119안전센터 [11219],7,216,47,43,6,34,48,18,3,15,2,0,619
11220,노원구,상계동주유소 [11220],39,665,214,185,22,79,56,24,20,36,24,5,1620
11225,노원구,흥안운수종점 [11225],87,458,123,113,49,46,26,21,39,27,12,2,589
11244,노원구,상계주공3단지 [11244],127,688,184,126,25,87,70,19,15,41,117,4,1860
11245,노원구,상계주공2단지 [11245],99,407,86,87,22,63,56,7,8,27,51,0,727
11248,노원구,마들근린공원.노원에코센터 [11248],3,72,17,16,3,13,14,6,0,3,0,0,290
11251,노원구,노원구청 [11251],42,356,108,58,28,20,23,7,11,25,56,20,1410
11255,노원구,상계주공6단지 [11255],138,1247,293,395,68,102,86,28,32,59,176,8,2243
11256,노원구,상계주공4단지 [11256],131,435,105,85,15,64,56,10,9,23,68,0,1472
11257,노원구,백병원 [11257],48,224,49,50,13,37,24,6,5,13,27,0,529
11267,도봉구,상계주공15단지 [11267],0,321,73,68,9,38,64,14,3,22,30,0,552
11268,도봉구,상계주공11단지 [11268],124,319,61,74,9,34,67,15,2,11,46,0,470
11269,노원구,상계주공10단지 [11269],10,99,24,17,3,12,30,6,2,5,0,0,385
11270,노원구,노원고등학교 [11270],0,51,17,7,3,5,11,3,1,4,0,0,235
11272,도봉구,상계주공14단지 [11272],1,238,46,44,7,26,52,10,4,23,26,0,564
11273,도봉구,상계주공12단지 [11273],130,349,62,80,11,38,75,19,3,15,46,0,456
11279,노원구,광운대역 [11279],37,302,106,60,17,37,14,11,9,25,13,10,452
11280,중랑구,월계현대아파트 [11280],5,82,25,12,5,16,8,7,2,6,0,1,707
11281,중랑구,월계현대아파트 [11281],1,98,29,15,6,17,10,7,3,9,2,0,694
11299,강북구,신창중학교후문 [11299],0,54,11,10,3,12,6,4,3,4,1,0,242
11301,강북구,염광고등학교 [11301],19,92,28,19,3,17,10,8,0,3,4,0,177
11302,노원구,월계주공1단지상가 [11302],13,89,27,20,4,13,12,6,0,4,3,0,176
11307,노원구,월계주공1단지 [11307],9,90,35,18,11,11,8,2,2,3,0,0,254
11310,노원구,월계주공108동앞롯데캐슬루나아파트 [11310],0,85,23,18,3,14,12,5,3,4,3,0,171
11311,노원구,인덕대학 [11311],8,109,34,19,17,15,8,1,3,8,3,1,264
11312,중랑구,한진한화그랑빌아파트 [11312],0,83,23,23,6,9,9,5,3,2,1,2,561
11315,중랑구,한천초등학교 [11315],0,112,36,24,15,16,11,2,6,1,1,0,568
11319,중랑구,월계미륭아파트 [11319],0,57,18,11,12,5,4,0,7,0,0,0,509
11321,노원구,월계삼호아파트 [11321],0,46,10,11,3,10,6,5,0,0,1,0,426
11323,노원구,월계삼호4차아파트 [11323],9,26,8,5,1,4,5,3,0,0,0,0,308
11329,노원구,월계역1번출구 [11329],17,100,30,16,3,19,12,8,3,6,1,2,230
11331,노원구,월계119안전센터 [11331],32,98,31,23,8,20,2,2,3,5,3,1,340
11332,노원구,신도브래뉴.한전노원변전소 [11332],11,68,18,15,8,14,1,1,2,5,3,1,340
11335,노원구,광운대학교 [11335],64,217,96,48,10,17,13,6,8,11,2,6,473
11340,노원구,월계보건지소 [11340],3,81,20,20,7,15,9,3,0,2,5,0,309
11347,노원구,상명고등학교.성원아파트 [11347],10,56,9,9,5,10,15,6,1,1,0,0,242
11349,노원구,은행사거리 [11349],191,936,162,121,22,59,449,22,6,51,44,0,1245
11350,노원구,양지근린공원 [11350],0,319,52,49,10,21,154,8,2,16,7,0,1007
11354,노원구,중계주공10단지 [11354],56,230,59,41,11,21,74,4,3,10,7,0,946
11355,노원구,롯데우성아파트 [11355],56,293,60,49,11,21,125,4,3,13,7,0,938
11357,노원구,중계구민체육센터 [11357],1,133,31,34,4,16,35,4,1,4,4,0,476
11359,노원구,을지중학교 [11359],22,178,25,33,7,26,60,16,2,5,4,0,958
11361,노원구,청암중.고등학교 [11361],5,366,57,47,7,36,168,16,3,16,16,0,1204
11364,노원구,중계주공5단지514동 [11364],134,944,188,106,22,51,443,17,7,54,56,0,1258
11366,노원구,중계역 [11366],4,138,35,24,8,23,23,10,1,6,8,0,540
11367,노원구,노원구민회관 [11367],2,549,94,319,12,42,35,6,9,13,19,0,888
11368,노원구,건영옴니백화점 [11368],183,283,67,124,8,23,32,6,4,10,9,0,761
11369,노원구,브라운스톤중계.우리은행앞 [11369],243,262,65,116,7,19,29,3,4,10,9,0,732
11370,노원구,서울아이티고등학교 [11370],33,94,19,20,5,21,20,6,1,2,0,0,447
11371,노원구,서울아이티고등학교 [11371],8,185,64,28,8,30,33,9,2,5,6,0,643
11372,노원구,어린이교통공원 [11372],0,137,22,31,12,23,22,8,1,9,9,0,380
11373,노원구,중계역 [11373],58,131,34,22,8,22,26,10,1,5,3,0,716
11375,노원구,중계건영2차아파트 [11375],16,89,18,24,4,11,10,3,1,8,10,0,365
11376,노원구,중계역2번출구 [11376],10,121,31,27,5,15,16,8,1,8,10,0,364
11377,노원구,상명초등학교 [11377],0,50,10,14,2,10,6,4,1,2,1,0,248
11378,노원구,중계3단지목련아파트 [11378],0,89,28,28,3,12,6,3,2,3,4,0,253
11379,노원구,상명고등학교 [11379],11,55,8,9,5,10,15,6,1,1,0,0,259
11380,노원구,목련아파트상가 [11380],61,96,31,28,4,13,8,3,1,2,6,0,259
11381,노원구,중계목화아파트4단지 [11381],0,67,21,22,7,5,4,2,1,3,2,0,570
11382,노원구,용동초등학교 [11382],1,328,49,189,15,33,15,5,5,6,11,0,792
11386,노원구,홈플러스중계점 [11386],248,368,69,220,9,29,16,5,5,5,10,0,887
11395,노원구,중계주공2단지 [11395],41,161,25,27,11,24,27,9,13,18,7,0,488
11398,노원구,중계1동주민센터 [11398],301,855,158,91,14,47,423,16,6,47,53,0,1250
11403,노원구,노원문화예술회관.불암초등학교 [11403],58,302,83,43,8,40,88,12,4,18,6,0,1260
11404,노원구,영신여자고등학교입구 [11404],69,273,72,38,9,42,77,13,4,15,3,0,1268
11408,노원구,노원우체국 [11408],42,139,32,23,5,17,31,12,0,17,2,0,330
11415,노원구,대림벽산아파트 [11415],0,322,52,49,11,22,155,8,2,16,7,0,989
11416,노원구,하계역 [11416],44,195,49,102,6,16,5,4,3,3,7,0,933
11417,노원구,하계미성아파트 [11417],6,306,80,84,22,36,32,19,7,14,12,0,523
11418,중랑구,서울과학기술대앞 [11418],25,173,79,29,26,8,6,1,10,11,0,3,508
11419,노원구,중계주공9단지후문 [11419],4,19,12,2,0,2,1,0,0,1,1,0,154
11420,노원구,중계주공9단지후문 [11420],4,20,12,2,0,2,1,0,0,2,1,0,162
11421,노원구,삼익선경아파트후문.시립과학관 [11421],5,93,24,9,6,9,26,2,1,13,3,0,231
11425,노원구,하계미성아파트.을지병원 [11425],53,250,77,93,13,25,12,7,5,11,7,0,834
11426,노원구,하계역 [11426],50,251,83,92,12,22,12,7,5,11,7,0,857
11429,노원구,한성여객종점 [11429],9,296,101,101,17,24,18,9,9,9,8,0,749
11433,노원구,대진고등학교 [11433],0,237,72,31,17,26,49,6,11,16,8,1,519
11434,노원구,골마을근린공원 [11434],0,201,53,26,17,23,44,5,10,15,7,1,385
11440,노원구,동천학교 [11440],13,58,19,13,5,7,8,3,1,2,0,0,328
11442,노원구,하계현대아파트 [11442],14,112,40,33,5,15,5,3,2,3,6,0,370
11446,노원구,한천중학교 [11446],1,74,28,13,4,8,6,2,5,7,0,1,542
11447,노원구,하계역 [11447],10,207,43,105,7,14,11,9,1,5,12,0,939
11448,노원구,하계장미아파트 [11448],6,294,75,83,21,33,32,18,6,14,12,0,462
11451,노원구,중평초등학교 [11451],23,265,29,162,9,16,22,6,4,8,9,0,575
11452,노원구,하계극동아파트 [11452],1,85,22,16,7,9,14,7,1,3,6,0,280
11453,노원구,하계시영아파트 [11453],39,114,28,25,9,15,17,10,1,3,6,0,293
11455,노원구,하계장미아파트 [11455],1,200,48,70,11,22,18,14,2,6,9,0,547
11456,노원구,중평초등학교 [11456],22,312,33,173,9,24,36,9,5,10,13,0,564
11458,노원구,중계1동신안아파트 [11458],36,195,29,36,8,31,63,15,3,6,4,0,1157
11464,중랑구,월계미성아파트 [11464],1,51,16,9,10,4,6,0,6,0,0,0,532
11469,노원구,하계1치안센터 [11469],6,159,36,30,13,25,26,12,4,10,3,0,481
11470,노원구,하계1치안센터 [11470],6,145,31,27,13,23,22,12,4,10,3,0,447
11503,도봉구,수락리버시티3.4단지 [11503],41,49,8,11,0,4,16,4,1,2,3,0,133
12106,은평구,연신내역 [12106],109,1051,330,272,55,104,29,49,25,66,96,25,2071
12107,은평구,선일하이츠빌라 [12107],58,534,178,102,41,66,34,27,19,32,24,11,1753
12109,은평구,세명컴퓨터고등학교 [12109],42,283,65,74,30,43,10,19,16,13,7,6,595
12111,은평구,구파발역2번출구 [12111],2,441,109,101,29,28,83,14,5,31,41,0,743
12113,은평구,구파발역.롯데몰 [12113],103,481,125,107,38,32,81,11,14,34,39,0,743
12119,은평구,연신내역 [12119],116,872,257,234,50,97,25,49,23,43,76,18,1992
12128,은평구,서부병원 [12128],81,610,180,124,71,71,44,21,16,33,46,4,1339
12129,은평구,신진과학기술고교.이마트은평점 [12129],128,653,179,143,33,76,74,31,25,41,46,5,1517
12133,은평구,서부병원 [12133],88,596,178,125,53,70,44,22,19,34,49,2,1318
12134,은평구,은평세무서 [12134],63,526,160,84,92,56,51,17,16,24,24,2,1032
12138,은평구,역촌역역촌오거리 [12138],113,410,148,64,37,48,19,25,19,25,17,8,994
12139,은평구,삼성타운 [12139],51,385,155,61,31,49,14,27,12,25,8,3,1075
12140,은평구,구산역1번출구.예일여고 [12140],111,548,126,98,35,54,115,26,16,28,46,4,1197
12141,은평구,역촌중앙시장 [12141],96,582,134,114,34,75,100,27,9,40,46,3,1267
12145,은평구,806의무경찰대.우남아파트 [12145],8,41,5,14,9,9,2,1,1,0,0,0,151
12146,은평구,806의무경찰대.우남아파트 [12146],3,29,3,10,8,6,1,0,1,0,0,0,84
12147,은평구,선정중고등학교 [12147],29,197,54,50,16,41,17,8,3,5,2,1,448
12148,은평구,선진운수종점 [12148],91,384,115,82,23,64,44,13,10,20,12,1,779
12150,은평구,역촌중앙시장 [12150],97,556,124,113,34,69,97,21,8,37,50,3,1276
12151,은평구,구산역2번출구.예일여고 [12151],161,568,124,108,35,54,118,28,16,32,49,4,1202
12152,은평구,하나은행역촌동지점 [12152],65,399,125,71,37,50,37,22,17,20,17,3,1129
12154,은평구,녹번초등학교.은평세무서 [12154],46,371,105,53,74,48,37,10,19,11,9,5,1185
12155,은평구,응암초등학교 [12155],52,368,86,92,30,64,47,24,10,7,4,4,1079
12157,은평구,응암오거리 [12157],94,623,233,135,37,61,40,32,14,33,33,5,1505
12158,은평구,신사초등학교 [12158],72,309,86,60,36,32,36,29,9,11,10,0,1076
12159,은평구,신사동고개사거리 [12159],96,307,54,85,29,38,34,12,15,19,19,2,787
12160,은평구,신사동고개사거리 [12160],58,263,47,70,26,38,27,12,14,15,12,2,807
12163,은평구,은평문화예술정보학교 [12163],48,757,264,235,30,72,39,25,11,38,34,9,1288
12165,은평구,대림시장 [12165],152,765,285,255,26,65,22,22,12,40,30,8,1338
12166,은평구,대림시장 [12166],133,825,310,257,31,74,30,28,13,40,35,7,1396
12172,마포구,증산종합시장.증산중학교입구 [12172],36,234,55,44,17,38,39,21,7,5,4,4,633
12173,마포구,증산종합시장.증산중학교입구 [12173],34,237,58,45,18,37,37,22,7,5,4,4,656
12175,은평구,와산교 [12175],21,361,146,66,23,39,18,22,14,16,12,5,1238
12177,은평구,신흥시장 [12177],45,377,117,53,36,69,28,37,8,21,3,5,1260
12181,은평구,구산역2번출구.예일여고 [12181],60,515,117,99,35,63,84,27,18,24,45,3,1235
12182,은평구,구산역1번출구 [12182],135,622,137,114,28,73,136,27,14,33,55,5,1195
12184,은평구,연신내역.로데오거리 [12184],174,1281,484,265,63,118,66,44,27,96,91,27,2297
12185,은평구,연서시장 [12185],98,997,298,259,44,101,33,52,18,58,111,23,2115
12186,은평구,종로약국 [12186],109,540,125,168,36,64,24,37,16,17,46,7,1472
12187,은평구,불광지구대 [12187],101,374,85,89,33,61,26,30,13,15,17,5,789
12189,은평구,은평경찰서 [12189],1,79,24,21,2,12,11,4,3,2,0,0,195
12190,은평구,폭포동 [12190],2,10,5,2,2,0,1,0,0,0,0,0,44
12192,은평구,신도중학교 [12192],6,33,5,11,2,7,5,2,0,0,1,0,75
12195,은평구,은평노인종합복지관.신도중학교 [12195],0,22,4,8,1,3,4,1,0,0,1,0,71
12197,은평구,폭포동.은평노인종합복지관 [12197],3,16,7,3,2,2,1,0,0,0,1,0,52
12198,은평구,은평경찰서 [12198],1,48,15,11,2,6,9,2,2,1,0,0,174
12199,은평구,연신초등학교 [12199],58,181,41,41,19,36,19,7,12,4,0,2,407
12200,은평구,불광지구대 [12200],104,386,86,95,34,64,27,30,13,15,17,5,799
12202,은평구,연서시장 [12202],168,983,299,256,36,98,35,48,19,58,111,23,2103
12204,은평구,은평연세병원 [12204],74,471,113,82,37,75,91,31,12,19,6,5,1785
12205,은평구,구산역4번출구 [12205],142,632,145,116,29,70,136,27,15,33,57,4,1212
12207,은평구,역말사거리 [12207],92,388,127,80,38,59,31,18,12,16,6,1,1100
12208,은평구,역촌초등학교 [12208],97,448,109,87,38,84,70,26,13,13,8,0,1351
12209,은평구,응암역2번출구 [12209],65,583,160,119,36,84,62,32,22,37,29,2,1385
12225,은평구,불광롯데캐슬아파트 [12225],49,338,110,64,27,50,27,25,6,10,19,0,1266
12227,은평구,진관초교입구 [12227],0,43,20,5,0,5,10,2,0,0,1,0,52
12229,은평구,푸르지오625동앞.관음사입구 [12229],0,23,10,5,0,2,5,1,0,0,0,0,41
12230,은평구,삼천리골입구56사단북한산부대 [12230],1,15,6,0,1,0,3,0,0,0,1,4,37
12232,은평구,흥국사 [12232],2,5,2,3,0,0,0,0,0,0,0,0,38
12234,은평구,북한산성입구 [12234],2,22,13,6,1,0,0,0,1,1,0,0,70
12235,은평구,흥국사 [12235],2,4,1,3,0,0,0,0,0,0,0,0,33
12236,은평구,백화사 [12236],8,28,18,5,0,1,1,3,0,0,0,0,41
12237,은평구,삼천리골입구56사단북한산부대 [12237],4,8,3,0,1,0,3,0,0,0,1,0,22
12238,은평구,진관초교관음사입구 [12238],0,32,16,5,0,4,6,1,0,0,0,0,49
12239,은평구,푸르지오618동앞.관음사입구 [12239],0,13,8,1,0,1,2,1,0,0,0,0,32
12240,은평구,진관중고교약수사입구 [12240],0,35,16,1,0,6,5,5,0,1,1,0,103
12243,은평구,이마트.은평점 [12243],131,647,178,141,35,77,67,30,25,43,46,5,1533
12247,은평구,대조시장앞 [12247],122,707,196,287,26,68,20,43,13,18,21,15,1712
12249,은평구,불광역.불광1동주민센터 [12249],25,581,204,100,49,48,49,27,33,22,36,13,1452
12250,은평구,독박골.북한산래미안APT앞 [12250],4,28,4,5,7,4,3,4,1,0,0,0,81
12251,은평구,구기터널입구 [12251],0,3,1,0,1,1,0,0,0,0,0,0,14
12257,은평구,역촌오거리 [12257],51,444,153,89,29,54,14,41,11,31,15,7,1215
12258,은평구,역촌역1번출구 [12258],56,360,119,56,44,54,19,15,17,22,10,4,1158
12260,은평구,이마트.은평점 [12260],106,691,194,153,33,91,68,37,27,41,43,4,1541
12264,은평구,백련산힐스테이트4차 [12264],51,139,14,22,15,26,39,17,3,1,1,1,623
12266,서대문구,충암고교앞.대주피오레아파트 [12266],22,260,44,41,22,39,70,21,6,12,3,2,764
