ARS,자치구,정류장이름,경도,위도
06235,동대문구,국민은행장안동지점 [06235],127.0734972565,37.5723759111
06237,동대문구,장안동근린공원 [06237],127.0719536475,37.5773238141
06238,동대문구,장안동근린공원 [06238],127.0723879948,37.5783141497
06242,동대문구,새서울병원 [06242],127.0720050585,37.5731012702
06244,동대문구,장안동삼성쉐르빌아파트 [06244],127.070843,37.571238
06245,동대문구,힐스테이트장안센트럴 [06245],127.070183,37.569605
06246,동대문구,현대벤처빌 [06246],127.0694007013,37.5689208635
06247,동대문구,현대벤처빌 [06247],127.0692809071,37.5682414609
06248,동대문구,우리은행장안지점앞 [06248],127.067727,37.566393
06249,동대문구,우리은행장안지점앞 [06249],127.0676384821,37.565598658
06250,동대문구,북한연구소앞 [06250],127.0661434798,37.5634648165
06251,동대문구,장한평역 [06251],127.0649278366,37.5622965411
06252,동대문구,장한평역 [06252],127.0654362294,37.5624370636
06253,중랑구,신이문역 [06253],127.0679015637,37.6026165732
06254,중랑구,이문동현대아파트앞 [06254],127.070677379,37.6010179381
06255,중랑구,이문동현대아파트 [06255],127.0709847069,37.6008590191
06256,중랑구,휘경2동주민센터 [06256],127.0680485017,37.5907361464
06257,중랑구,휘경2동주민센터 [06257],127.0680858743,37.5905048929
06258,중랑구,동부아동보호전문기관.동대부중고 [06258],127.0763833794,37.576833541
06259,중랑구,장안삼성래미안2차아파트 [06259],127.0766223278,37.574681581
06260,광진구,장안삼성래미안2차아파트.성복교회 [06260],127.0768144692,37.5728468216
06262,광진구,구민회관앞 [06262],127.073941301,37.5663862675
06276,동대문구,국방연구원 [06276],127.0411809472,37.5914093283
06278,동대문구,세종대왕기념관 [06278],127.042380198,37.5898533719
06279,동대문구,세종대왕기념관 [06279],127.0425673859,37.5904615395
06280,동대문구,영휘원사거리.(구)홍릉사거리 [06280],127.0431751633,37.5860009275
06285,동대문구,현대코아 [06285],127.0446557984,37.5814859166
06290,동대문구,제기시장 [06290],127.0352199679,37.586385972
06297,동대문구,청량리한신아파트.청량사입구 [06297],127.0474140067,37.5867421008
06300,동대문구,제기동천주교회 [06300],127.033571029,37.582856812
06301,중랑구,이문동쌍용아파트 [06301],127.0688553749,37.5988779848
06304,동대문구,전농동SK아파트 [06304],127.061494401,37.578119856
06309,동대문구,휘경공고휘경주공아파트 [06309],127.0692518943,37.5841657316
06310,성동구,e편한세상청계센트럴포레아파트 [06310],127.0302942423,37.5708159089
06315,동대문구,청량리미주상가앞 [06315],127.0472557344,37.5819579768
06316,동대문구,동대문구청.용두역 [06316],127.04015,37.572834
06320,동대문구,회기동현대아파트 [06320],127.0544608913,37.5891109228
06321,동대문구,우산빌딩앞 [06321],127.0546770593,37.588882349
06349,동대문구,청량리한신아파트 [06349],127.0476686082,37.5865144976
06357,동대문구,동대문노인종합복지관 [06357],127.0497131121,37.5859460919
06417,동대문구,동일스위트리버앞.휘봉고교 [06417],127.0676591393,37.5871806733
06418,동대문구,청량리수산시장 [06418],127.0408714095,37.5786434462
06419,중랑구,휘봉초등학교 [06419],127.0696854187,37.5877063782
06422,동대문구,휘경미소지움아파트 [06422],127.0645643148,37.5909282333
06423,중랑구,서울반도체고교.휘경주공아파트 [06423],127.0697135361,37.5844695451
06426,동대문구,청량리수산시장 [06426],127.0418950942,37.5789521614
06500,동대문구,답십리역 [06500],127.0531915243,37.5667684599
06501,중랑구,"서울가든아파트,한국산업인력공단 [06501]",127.0720741928,37.5845492166
06503,동대문구,농협답십리지점 [06503],127.0506963586,37.5684978574
06504,중랑구,"동일하이빌,현대베스트빌아파트 [06504]",127.0739978057,37.5824731826
06507,동대문구,청계한신휴플러스 [06507],127.0450335285,37.571807229
06511,동대문구,한신휴플러스정문 [06511],127.0450796439,37.5727352624
06524,동대문구,휘경여중고.휘경주공아파트 [06524],127.0685629353,37.5824548381
06537,동대문구,시립대입구 [06537],127.0534663672,37.5838521215
06539,동대문구,외대앞 역 [06539],127.0628249067,37.5953348737
06546,동대문구,회기역종점 [06546],127.0587395905,37.5898517712
06557,성북구,신설동역1번출구 [06557],127.0236090065,37.5760124698
06575,동대문구,서울시립대 [06575],127.0531816401,37.5831151587
06576,동대문구,영광빌딩 [06576],127.0521991693,37.5819811249
06578,동대문구,신성미소지움아파트 [06578],127.0495757982,37.5786581335
06580,동대문구,동대문해병전우회 [06580],127.0455245142,37.5763718959
06774,동대문구,신설동로터리.서울풍물시장 [06774],127.0234166489,37.5742755859
06776,동대문구,경동시장사거리 [06776],127.038109149,37.5772293536
06779,동대문구,동답초교.대림아파트 [06779],127.0652298839,37.5712072227
06781,동대문구,정화여중.정화고등학교 [06781],127.0418434744,37.5866113105
07101,중랑구,극동늘푸른아파트 [07101],127.0764039758,37.6147026458
07102,중랑구,묵동자이.신도브래뉴아파트 [07102],127.0765885798,37.6152702687
07103,중랑구,묵동삼거리.먹골역 [07103],127.0771199228,37.6125566965
07104,중랑구,먹골역. 묵동자이아파트 [07104],127.0770859657,37.6138350067
07105,중랑구,한국전력동부지사 [07105],127.0782566814,37.6069574374
07107,중랑구,지하철7호선중화역 [07107],127.0791563016,37.6026485718
07108,중랑구,지하철7호선중화역 [07108],127.0794497843,37.602844147
07109,중랑구,국민은행중화동지점 [07109],127.0798038601,37.5989360038
07113,중랑구,면목2동주민센터 [07113],127.079858977,37.5893825204
07119,중랑구,면목신우아파트 [07119],127.0794405095,37.5802709857
07120,중랑구,면목신우아파트 [07120],127.0798122666,37.5806329732
07122,중랑구,경남아너스빌아파트앞 [07122],127.0801546872,37.5747495207
07130,중랑구,지하철7호선상봉역 [07130],127.0872459258,37.5966238431
07132,중랑구,지하철7호선상봉역 [07132],127.0886276147,37.5973635689
07144,중랑구,서울우유앞 [07144],127.072817,37.592108
07149,중랑구,동부시장남문입구 [07149],127.078259265,37.5907703673
07179,중랑구,지하철7호선사가정역 [07179],127.0884337896,37.5812242521
07196,중랑구,용마문화복지센터.서일대후문 [07196],127.095167,37.586712
07197,중랑구,중화중학교 [07197],127.0940498031,37.5839979712
07201,중랑구,한양수자인사가정파크 [07201],127.0928893022,37.5800702505
07206,중랑구,용마폭포공원 [07206],127.0887419869,37.5756922268
07208,중랑구,용마산역 [07208],127.0866708555,37.5733815658
07214,중랑구,묵1동주민센터입구.먹골역 [07214],127.077951746,37.6118632153
07218,중랑구,면목2동한신아파트 [07218],127.0740441033,37.5873343176
07219,중랑구,면목2동한신아파트 [07219],127.074238,37.586758
07221,중랑구,면목5동 [07221],127.0761004529,37.5859071889
07222,중랑구,동서그랜드맨션 [07222],127.0779518031,37.5861109566
07226,중랑구,면목복개천 [07226],127.086043,37.587913
07234,중랑구,면목마젤란아파트 [07234],127.0837401254,37.5868243425
07237,중랑구,녹색병원입구 [07237],127.0833643143,37.584902585
07239,중랑구,면목두산1차.사가정아이파크 [07239],127.0834865686,37.5818306838
07242,중랑구,사가정센트럴아이파크아파트 [07242],127.081988552,37.5813735031
07243,중랑구,홈플러스면목동점 [07243],127.0817183593,37.581130873
07247,중랑구,사가정역 [07247],127.0872973908,37.5806624166
07253,중랑구,지하철7호선중화역3번출구 [07253],127.0787352964,37.6017066002
07262,중랑구,쌍용아파트신내테크노타운앞 [07262],127.0880531041,37.6031155767
07263,중랑구,엘지아파트앞 [07263],127.0898625255,37.6041023768
07267,중랑구,중랑구청 [07267],127.0941822536,37.6066439712
07268,중랑구,중랑구청 [07268],127.0936349035,37.6062056111
07273,중랑구,중랑구청사거리 [07273],127.0952115317,37.6056205222
07275,중랑구,신내동성3차아파트 [07275],127.0952480857,37.6076432141
07276,중랑구,신내동성1.2차아파트 [07276],127.0960572283,37.6097526098
07280,중랑구,신내9단지아파트.서울의료원 [07280],127.0966220017,37.612626142
07294,중랑구,지하철6호선화랑대역 [07294],127.0858732595,37.6196403121
07296,중랑구,봉화산역2번출구 [07296],127.0931755465,37.6167043095
07299,중랑구,새우개마을 [07299],127.1033558569,37.6182441062
07303,중랑구,신내교회.신내데시앙아파트 [07303],127.101015256,37.6105382531
07309,중랑구,상봉터미널 [07309],127.092859113,37.5962266864
07311,중랑구,망우3동주민센터.혜원여중고후문 [07311],127.0932383267,37.5924652462
07332,중랑구,양원역입구 [07332],127.106301327,37.6056398133
07346,중랑구,면목아남아파트 [07346],127.0850893069,37.5903178004
07355,중랑구,송곡여고양원역 [07355],127.105800493,37.6057286331
07372,중랑구,묵동교 [07372],127.0794582367,37.618000502
07421,중랑구,양원역 [07421],127.1074180142,37.6063443498
07426,중랑구,먹골역 [07426],127.0781824676,37.6093643524
07433,중랑구,서울의료원후문 [07433],127.098397,37.613665
07435,중랑구,신내데시앙아파트후문 [07435],127.1002631605,37.6130754494
07443,중랑구,망우역사문화공원 [07443],127.1152135677,37.6015482363
07444,중랑구,망우역사문화공원 [07444],127.1153104035,37.6018460877
07446,중랑구,신내SKV1센터 [07446],127.1132712119,37.614461291
07452,중랑구,신내데시앙포레아파트220동앞 [07452],127.1128015572,37.6154037584
07453,중랑구,신내데시앙포레아파트220동앞 [07453],127.1127524972,37.6159863803
07454,중랑구,신내데시앙포레아파트정문앞 [07454],127.1109420061,37.6165642773
07455,중랑구,새솔초등학교입구 [07455],127.1098030048,37.6172677017
07456,중랑구,새솔초등학교 [07456],127.1083861254,37.6174362942
