ARS,자치구,정류장이름,최근접지하철_거리_m,최근접역명,최근접역호선,최근접역_승하차_일평균
24219,송파구,방이전통시장동문 [24219],515.5,송파나루,9호선(연장),12839.0
24221,송파구,올림픽공원남2문 [24221],506.5,한성백제,9호선(연장),6882.0
24222,강동구,올림픽공원장미광장 [24222],432.9,방이,5호선,16043.0
24224,송파구,한양 삼익아파트 [24224],507.9,방이,5호선,16043.0
24228,송파구,신구블레스밸리 [24228],483.6,방이,5호선,16043.0
24231,송파구,올림픽회관 [24231],459.0,몽촌토성(평화의문),8호선,18003.0
24232,강동구,풍납동극동 [24232],418.3,강동구청,8호선,21953.0
24233,송파구,한성백제박물관 [24233],265.4,한성백제,9호선(연장),6882.0
24234,강동구,서울체육중.고등학교 [24234],646.6,둔촌오륜,9호선(연장),9254.0
24235,강동구,둔촌오륜역.서문교회 [24235],205.1,둔촌오륜,9호선(연장),9254.0
24236,강동구,서하남IC입구 [24236],512.5,둔촌오륜,9호선(연장),9254.0
24239,강동구,올림픽공원장미광장 [24239],445.1,방이,5호선,16043.0
24240,송파구,올림픽공원남2문 [24240],508.1,한성백제,9호선(연장),6882.0
24242,강동구,보성중고등학교 [24242],391.9,둔촌오륜,9호선(연장),9254.0
24243,강동구,보성중고등학교 [24243],431.6,올림픽공원(한국체대),5호선,34514.0
24244,강동구,올림픽공원역 [24244],57.2,올림픽공원(한국체대),5호선,34514.0
24245,강동구,올림픽공원역 [24245],50.9,올림픽공원(한국체대),5호선,34514.0
24246,강동구,올림픽공원테니스장 [24246],361.0,올림픽공원(한국체대),9호선(연장),34514.0
24247,강동구,올림픽선수촌아파트 [24247],336.6,올림픽공원(한국체대),9호선(연장),34514.0
24248,송파구,방이역 [24248],32.1,방이,5호선,16043.0
24249,송파구,오금역.오금동현대아파트 [24249],190.7,오금,5호선,20383.0
24250,송파구,오금공원앞 [24250],206.2,개롱,5호선,13434.0
24251,송파구,오금동상아아파트 [24251],109.3,개롱,5호선,13434.0
24252,송파구,보인고교.오금동삼성아파트 [24252],350.6,개롱,5호선,13434.0
24253,강동구,송파사회복지관.성요셉성당 [24253],519.3,개롱,5호선,13434.0
24256,강동구,송파참병원 [24256],657.1,개롱,5호선,13434.0
24259,강동구,신흥운수입구 [24259],606.8,오금,3호선,20383.0
24263,강동구,오금공원사거리 [24263],513.8,방이,5호선,16043.0
24264,송파구,오금동대림아파트 [24264],194.3,방이,5호선,16043.0
24266,강동구,송파도서관 [24266],310.6,개롱,5호선,13434.0
24267,강동구,우창아파트 [24267],214.9,개롱,5호선,13434.0
24268,강동구,오금동사거리 [24268],582.6,개롱,5호선,13434.0
24272,송파구,체육문화회관 [24272],263.4,거여,5호선,20540.0
24274,강동구,송파사회복지관 [24274],541.3,개롱,5호선,13434.0
24275,송파구,거여아파트단지앞 [24275],296.3,거여,5호선,20540.0
